,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,46,97,67,3,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,64,36,40,17,7,21,45,46.7,24,485,132,27.2,281,142,62,100,30,2,70,35,99,86,0,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,14,10,4,5,5,4,16,25.0,12,430,130,30.2,19,169,242,23,5,0,18,5,19,26,0,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,8,6,2,4,2,0,5,0.0,5,231,58,25.1,9,97,125,10,1,0,9,2,10,10,0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,7,5,0,4,3,1,6,16.7,5,222,56,25.2,13,74,135,15,2,0,13,3,10,3,0,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,2,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,33,58,176,1,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,23,11,11,11,1,7,29,24.1,22,192,66,34.4,46,95,51,18,1,0,17,8,31,6,0,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,44,24,24,17,3,14,36,38.9,22,258,83,32.2,169,79,10,69,34,1,35,26,70,229,3,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,58,25,37,15,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,46,104,98,2,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,14,55,17,0,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,62,36,34,17,11,13,46,28.3,33,732,175,23.9,236,278,218,44,1,0,43,30,92,16,0,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,20,47,48,0,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,13,41,14,0,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,17,38,58,1,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,21,66,14,0,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,2,1,0,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,9,17,18,0,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,1,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,14,10,5,4,5,2,14,14.3,12,337,78,23.1,31,151,155,26,5,0,21,9,23,9,0,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,49,25,27,14,8,13,46,28.3,33,407,129,31.7,115,187,105,24,5,0,19,10,59,22,1,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,1,1,1,2,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,12,9,4,6,2,4,15,26.7,11,243,47,19.3,98,105,40,28,1,0,27,2,14,6,0,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,39,24,15,14,10,12,50,24.0,38,573,130,22.7,113,256,204,59,2,0,57,11,50,16,0,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,98,55,66,26,6,32,61,52.5,29,521,153,29.4,262,187,72,58,7,0,51,43,141,105,1,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,54,29,16,21,17,15,45,33.3,30,1018,219,21.5,178,515,325,35,6,0,29,13,67,20,0,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,102,61,50,38,14,37,74,50.0,37,568,186,32.7,250,221,97,81,20,0,61,66,168,146,0,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,0,0,0,1,0.0,1,17,4,23.5,10,7,0,3,3,0,0,3,3,7,0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,10,6,7,2,1,2,7,28.6,5,51,14,27.5,28,10,13,11,2,0,9,5,15,12,0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,18,11,14,3,1,6,26,23.1,20,116,40,34.5,91,22,3,27,7,0,20,26,44,93,1,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,74,45,44,17,13,25,48,52.1,23,564,158,28.0,243,209,112,63,5,0,58,37,111,87,3,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,55,33,21,25,9,18,33,54.5,15,234,65,27.8,101,111,22,43,12,1,31,29,84,88,0,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,16,11,6,8,2,4,17,23.5,13,171,50,29.2,17,96,58,11,3,1,8,8,24,12,0,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,6,4,1,3,2,2,13,15.4,11,275,63,22.9,20,121,134,17,4,0,13,6,12,14,0,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,22,12,10,9,3,7,26,26.9,19,328,86,26.2,69,153,106,23,4,0,19,5,27,7,1,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,84,50,57,23,4,32,79,40.5,47,416,135,32.5,264,119,33,57,19,1,38,73,157,264,2,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,0,0,0,2,0.0,2,10,1,10.0,0,9,1,1,0,0,1,0,0,1,1,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,2,1,2,0,0,0,2,0.0,2,72,17,23.6,5,34,33,4,2,0,2,0,2,1,0,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,70,38,47,16,7,32,73,43.8,41,321,102,31.8,205,103,13,61,26,0,35,74,144,329,4,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,23,16,12,7,4,9,31,29.0,22,183,46,25.1,71,87,25,28,4,0,24,18,41,34,0,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,4,3,4,0,0,2,7,28.6,5,61,15,24.6,41,19,1,15,7,0,8,9,13,45,1,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,5,2,2,3,0,4,6,66.7,2,35,7,20.0,14,19,2,3,1,0,2,7,12,15,0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,30,23,20,10,0,9,25,36.0,16,177,60,33.9,72,95,10,14,2,0,12,19,49,12,0,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,9,5,0,6,3,1,8,12.5,7,178,49,27.5,4,70,104,14,6,0,8,4,13,25,0,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,7,3,2,1,4,2,9,22.2,7,105,19,18.1,34,35,36,10,1,0,9,7,14,8,0,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,26,17,5,15,6,6,15,40.0,9,248,63,25.4,52,132,64,28,1,0,27,10,36,16,0,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,5,4,1,3,1,2,10,20.0,8,117,34,29.1,26,68,23,11,0,0,11,3,8,7,0,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,25,14,9,10,6,6,39,15.4,33,271,69,25.5,64,143,64,30,2,0,28,16,41,8,0,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,28,16,14,5,9,12,19,63.2,7,129,44,34.1,56,48,25,16,3,0,13,7,35,25,0,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,48,28,20,19,9,19,55,34.5,36,385,142,36.9,139,162,84,52,13,0,39,31,79,76,1,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,9,6,6,3,0,2,6,33.3,4,71,17,23.9,29,33,9,4,0,0,4,2,11,5,0,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,76,46,29,39,8,17,67,25.4,50,692,164,23.7,209,382,101,88,17,0,71,71,147,117,1,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,58,36,35,20,3,18,38,47.4,20,308,90,29.2,126,143,39,28,4,0,24,22,80,22,0,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22.0,61,40,42,18,1,23,48,47.9,25,271,101,37.3,181,86,4,50,16,0,34,39,100,136,2,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,0,0,0,0,0,0,0,,0,12,7,58.3,6,4,2,2,1,0,1,0,0,0,0,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,21,12,10,8,3,3,13,23.1,10,218,71,32.6,54,94,70,17,0,0,17,3,24,2,0,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,19,13,6,8,5,5,19,26.3,14,174,40,23.0,67,64,43,15,0,0,15,13,32,5,0,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,10,5,7,3,0,2,9,22.2,7,126,28,22.2,46,53,27,14,2,0,12,5,15,8,0,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,7,7,5,2,0,1,4,25.0,3,33,16,48.5,21,11,1,5,3,0,2,1,8,17,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,0,0,0,0,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,4,3,1,1,2,0,15,0.0,15,101,20,19.8,28,47,26,7,1,0,6,3,7,3,0,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,15,8,6,7,2,1,7,14.3,6,111,31,27.9,36,54,21,10,3,0,7,13,28,16,0,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,88,58,62,18,8,26,112,23.2,86,790,207,26.2,308,334,148,69,5,1,64,22,110,29,1,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,63,36,34,23,6,24,56,42.9,32,465,164,35.3,251,161,53,67,22,0,45,37,100,148,0,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,46,23,28,11,7,24,49,49.0,25,236,74,31.4,126,83,27,50,10,0,40,24,70,75,0,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,18,12,13,5,0,6,15,40.0,9,106,35,33.0,75,23,8,45,24,0,21,18,36,134,0,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,15,11,1,9,5,3,18,16.7,15,471,130,27.6,11,191,269,22,5,0,17,6,21,34,0,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,44,26,23,13,8,18,44,40.9,26,174,59,33.9,67,71,36,12,2,0,10,22,66,27,1,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,49,29,22,21,6,19,82,23.2,63,575,149,25.9,184,261,130,58,5,0,53,16,65,35,0,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,80,54,43,31,6,34,89,38.2,55,660,172,26.1,287,293,80,53,10,0,43,62,142,70,0,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,7,1,3,1,3,2,8,25.0,6,82,26,31.7,14,38,30,7,3,0,4,1,8,21,0,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,98,61,60,29,9,34,90,37.8,56,722,215,29.8,326,283,113,79,9,0,70,52,150,45,2,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,37,26,21,15,1,10,30,33.3,20,195,68,34.9,112,75,8,35,16,1,19,22,59,195,2,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,49,28,25,17,7,17,62,27.4,45,445,120,27.0,197,191,57,29,4,0,25,30,79,22,1,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,33,19,10,16,7,9,27,33.3,18,227,65,28.6,76,112,39,13,5,0,8,16,49,32,0,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,25,18,14,8,3,9,12,75.0,3,143,51,35.7,77,41,25,21,7,0,14,15,40,61,0,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,51,26,33,14,4,19,59,32.2,40,414,116,28.0,193,159,62,58,9,0,49,28,79,88,0,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,0,0,0,0,0,0,0,,0,15,4,26.7,4,3,8,0,0,0,0,0,0,0,0,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,20,13,8,10,2,5,28,17.9,23,192,62,32.3,80,88,24,20,7,0,13,27,47,18,0,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,41,20,25,13,3,11,24,45.8,13,156,57,36.5,90,62,4,22,9,0,13,31,72,104,0,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,22,12,20,2,0,3,7,42.9,4,122,44,36.1,88,28,6,25,13,0,12,13,35,98,0,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0,0,0,0,0,0,0,,0,17,5,29.4,2,7,8,0,0,0,0,0,0,2,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,27,17,11,14,2,11,45,24.4,34,291,85,29.2,98,144,49,20,4,0,16,9,36,15,0,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,41,22,34,7,0,19,38,50.0,19,205,69,33.7,151,54,0,37,18,0,19,27,68,164,0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,50,31,30,17,3,21,35,60.0,14,216,78,36.1,113,81,22,43,10,0,33,24,74,56,1,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,12,8,1,5,6,3,12,25.0,9,234,69,29.5,14,94,126,8,1,0,7,0,12,1,0,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,27,16,15,10,2,8,40,20.0,32,375,71,18.9,125,197,53,20,6,0,14,21,48,15,0,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,22,13,15,7,0,9,23,39.1,14,164,55,33.5,111,44,9,47,28,0,19,45,67,222,1,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,39,27,10,21,8,11,65,16.9,54,605,172,28.4,146,347,112,53,12,0,41,29,68,57,0,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,48,29,25,18,5,24,59,40.7,35,355,118,33.2,185,130,40,64,10,0,54,35,83,92,2,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,6,4,3,1,2,1,5,20.0,4,95,26,27.4,9,43,43,1,1,0,0,2,8,1,0,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,3,2,3,0,0,2,4,50.0,2,8,4,50.0,3,2,3,1,0,0,1,2,5,4,0,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,1,0,0,1,0,1,2,50.0,1,26,5,19.2,20,6,0,5,1,0,4,1,2,4,1,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,12,5,10,2,0,7,14,50.0,7,41,16,39.0,29,12,0,17,6,0,11,14,26,80,0,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,8,4,4,4,0,5,8,62.5,3,41,10,24.4,26,13,2,9,4,0,5,3,11,15,0,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,29,13,13,13,3,5,24,20.8,19,214,63,29.4,98,91,25,43,13,0,30,24,53,67,1,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,36,18,13,16,7,8,51,15.7,43,427,99,23.2,158,211,58,34,4,0,30,34,70,35,1,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,2,2,0,2,0,0,3,0.0,3,88,19,21.6,3,50,35,5,1,0,4,0,2,3,0,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,30,19,15,13,2,14,31,45.2,17,183,72,39.3,106,66,11,56,35,1,21,34,64,165,1,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,44,28,11,18,15,11,58,19.0,47,554,177,31.9,83,230,241,31,2,0,29,19,63,19,1,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,24,17,2,14,8,9,30,30.0,21,460,109,23.7,53,227,180,20,2,0,18,11,35,22,0,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,29,11,11,11,7,11,32,34.4,21,189,55,29.1,76,87,26,22,6,0,16,16,45,19,1,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,68,40,41,19,8,23,62,37.1,39,573,164,28.6,251,257,65,53,13,0,40,38,106,95,3,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,29,21,15,8,6,13,66,19.7,53,511,133,26.0,113,208,190,16,0,0,16,24,53,6,0,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,25,14,13,10,2,6,22,27.3,16,204,54,26.5,92,93,19,26,11,0,15,19,44,78,0,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,87,39,58,22,7,30,67,44.8,37,496,133,26.8,249,156,91,69,10,0,59,46,133,145,1,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,30,20,20,9,1,6,15,40.0,9,133,46,34.6,84,37,12,32,16,1,16,35,65,259,2,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,32,16,22,10,0,15,32,46.9,17,243,84,34.6,156,79,8,47,21,0,26,46,78,190,3,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,29,18,18,6,5,8,23,34.8,15,265,79,29.8,67,120,78,24,2,0,22,10,39,12,0,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,65,33,36,25,4,26,50,52.0,24,379,107,28.2,181,141,57,64,5,0,59,38,103,78,1,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,70,49,29,30,11,16,60,26.7,44,949,239,25.2,270,463,216,59,9,0,50,32,102,45,0,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,2,2,1,1,0,0,1,0.0,1,23,5,21.7,10,10,3,1,0,0,1,1,3,0,0,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,9,5,6,2,1,1,13,7.7,12,106,22,20.8,36,58,12,3,0,0,3,5,14,4,1,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,4,3,2,1,1,1,11,9.1,10,133,35,26.3,24,54,55,8,0,0,8,1,5,5,1,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,0,0,0,0,0,0,1,0.0,1,9,0,0.0,9,0,0,2,0,0,2,1,1,1,3,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,19,15,10,6,3,7,20,35.0,13,197,54,27.4,52,105,40,18,2,0,16,6,25,7,0,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,16,9,10,5,1,4,18,22.2,14,100,34,34.0,71,27,2,21,8,0,13,21,37,116,0,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,28,6,18,6,4,12,20,60.0,8,163,40,24.5,97,58,8,42,10,0,32,19,47,72,0,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,43,28,31,12,0,13,41,31.7,28,248,107,43.1,164,72,12,71,37,3,34,54,97,162,1,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,1,1,1,0,0,1,2,50.0,1,7,2,28.6,7,0,0,0,0,0,0,2,3,2,4,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,45,27,32,13,0,21,45,46.7,24,296,101,34.1,209,80,7,73,33,0,40,56,101,270,4,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
