,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,25,17,17,6,2,10,22,45.5,12,109,28,25.7,56,40,13,11,5,0,6,13,38,29,0,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,9,4,7,2,0,5,11,45.5,6,81,29,35.8,54,26,1,26,19,0,7,29,38,111,2,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,19,12,12,6,1,5,23,21.7,18,260,55,21.2,83,126,51,19,1,0,18,11,30,11,0,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,48,31,31,16,1,27,42,64.3,15,278,111,39.9,178,80,20,53,21,0,32,58,106,271,4,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,0,0,0,0,0,0,3,0.0,3,10,2,20.0,10,0,0,0,0,0,0,1,1,2,2,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,77,53,27,37,13,26,65,40.0,39,428,139,32.5,149,219,60,36,2,0,34,35,112,34,0,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,62,32,44,15,3,26,71,36.6,45,384,97,25.3,209,138,37,36,2,0,34,37,99,62,1,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,19,14,7,8,4,5,34,14.7,29,257,65,25.3,58,122,77,14,0,0,14,9,28,12,0,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,1,1,1,0,0,0,1,0.0,1,18,5,27.8,7,7,4,1,0,0,1,1,2,0,0,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,50,32,41,8,1,27,51,52.9,24,231,73,31.6,170,48,13,61,31,0,30,22,72,214,1,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,44,25,29,15,0,18,47,38.3,29,217,89,41.0,106,90,21,40,17,1,23,25,69,106,1,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,37,26,7,17,13,10,34,29.4,24,694,216,31.1,57,307,330,47,5,0,42,8,45,16,0,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,38,24,17,15,6,18,74,24.3,56,551,146,26.5,150,289,112,44,3,0,41,24,62,24,0,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,16,9,5,8,3,7,17,41.2,10,253,74,29.2,43,105,105,9,0,0,9,7,23,3,0,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,42,29,17,18,7,16,70,22.9,54,597,156,26.1,153,275,169,51,1,0,50,24,66,10,0,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,0,0,0,0,0,0,3,0.0,3,9,0,0.0,9,0,0,1,0,0,1,1,1,1,2,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,1,1,1,0,0,1,4,25.0,3,20,6,30.0,10,9,1,0,0,0,0,5,6,2,0,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,1,1,1,0,0,0,1,0.0,1,18,6,33.3,6,9,3,2,0,0,2,2,3,1,0,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,7,4,5,1,1,2,3,66.7,1,14,5,35.7,10,4,0,2,0,0,2,2,9,4,0,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,17,12,13,4,0,11,25,44.0,14,107,29,27.1,71,24,12,29,14,0,15,20,37,91,2,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,9,8,3,3,3,4,17,23.5,13,298,65,21.8,79,122,97,28,3,2,25,16,25,18,0,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,79,51,41,33,5,29,98,29.6,69,707,194,27.4,289,328,90,64,8,0,56,38,117,26,0,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,86,48,63,15,8,33,65,50.8,32,325,97,29.8,196,85,44,42,9,1,33,26,112,91,0,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,5,4,1,2,2,2,9,22.2,7,96,24,25.0,31,42,23,9,0,0,9,9,14,6,0,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,15,9,8,7,0,8,23,34.8,15,144,45,31.3,88,51,5,29,3,0,26,16,31,39,1,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,11,4,7,3,1,6,11,54.5,5,74,20,27.0,44,25,5,8,0,0,8,18,29,47,1,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,0,2,0,0,0,0,0,0,0,1,0,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,13,10,5,7,1,2,5,40.0,3,118,33,28.0,19,54,45,10,5,0,5,2,15,8,0,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,5,4,2,1,2,1,4,25.0,3,29,13,44.8,13,11,5,2,0,0,2,1,6,6,0,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,2,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,17,10,10,5,2,5,24,20.8,19,350,74,21.1,70,163,117,18,1,0,17,12,29,12,0,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,1,1,0,1,0,0,0,,0,27,10,37.0,5,15,7,2,0,0,2,1,2,0,0,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,6,4,4,2,0,3,6,50.0,3,36,14,38.9,15,20,1,6,0,0,6,3,9,1,0,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,4,3,1,3,0,0,10,0.0,10,207,59,28.5,10,100,97,20,6,0,14,2,6,13,0,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,34,22,26,7,1,12,24,50.0,12,234,77,32.9,162,65,7,47,32,0,15,26,60,173,4,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,32,24,13,14,5,7,63,11.1,56,367,93,25.3,126,195,46,28,3,0,25,7,39,10,0,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,0,0,0,0,,0,11,1,9.1,6,4,1,1,0,0,1,0,0,0,0,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,26,15,17,9,0,10,22,45.5,12,151,60,39.7,92,55,4,25,8,0,17,41,67,90,1,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,8,6,4,4,0,1,14,7.1,13,120,25,20.8,39,61,20,12,2,0,10,8,16,3,0,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,28,20,16,8,4,7,30,23.3,23,357,93,26.1,133,149,75,38,11,0,27,20,48,27,0,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,5,5,0,1,4,1,1,100.0,0,161,43,26.7,13,61,87,3,1,0,2,1,6,2,0,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,8,5,6,1,1,3,14,21.4,11,129,39,30.2,32,63,34,10,0,0,10,5,13,2,0,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,36,28,13,14,9,8,31,25.8,23,574,154,26.8,161,231,182,55,12,0,43,25,61,13,1,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,19,13,6,6,7,7,21,33.3,14,190,61,32.1,50,75,65,15,0,0,15,8,27,4,0,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,6,5,3,2,1,2,7,28.6,5,78,32,41.0,28,27,23,3,0,0,3,8,14,8,1,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,33,21,6,19,8,8,32,25.0,24,395,103,26.1,81,195,119,27,2,0,25,9,42,11,0,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,0,0,0,0,0,0,2,0.0,2,3,1,33.3,3,0,0,0,0,0,0,0,0,0,2,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,24,13,11,9,4,10,36,27.8,26,384,109,28.4,158,175,51,40,7,0,33,30,54,48,0,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,82,38,50,22,10,34,74,45.9,40,416,115,27.6,228,133,55,65,13,0,52,48,130,87,1,Matches
182,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,28,19,6,15,7,10,47,21.3,37,255,73,28.6,65,135,55,25,5,0,20,30,58,21,0,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,0,Matches
184,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,25.2,21,17,10,9,2,3,28,10.7,25,571,126,22.1,43,304,224,34,7,0,27,8,29,24,1,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,27,17,16,11,0,11,19,57.9,8,143,50,35.0,97,43,3,34,20,0,14,30,57,103,1,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,27,22,23,2,2,11,22,50.0,11,182,73,40.1,112,59,11,46,22,1,24,20,47,114,5,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,63,37,35,20,8,12,45,26.7,33,476,126,26.5,213,203,60,38,8,0,30,36,99,34,1,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,0,1,0,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,3,0,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,65,36,22,31,12,23,63,36.5,40,532,169,31.8,134,287,111,37,5,0,32,29,94,27,0,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,18,10,7,7,4,2,30,6.7,28,356,69,19.4,83,175,98,35,7,0,28,19,37,19,0,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,0,0,0,0,0,0,1,0.0,1,26,6,23.1,0,7,19,0,0,0,0,0,0,0,0,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,37,27,17,10,10,13,32,40.6,19,244,84,34.4,96,86,62,21,2,1,19,19,56,10,0,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,33,21,15,15,3,11,66,16.7,55,544,133,24.4,130,247,167,28,0,0,28,19,52,19,0,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,0,2,1,0,0,0,0,0,0,0,0,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,6,3,5,1,0,2,3,66.7,1,47,14,29.8,32,10,5,19,6,0,13,5,11,45,2,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,25,12,20,5,0,6,25,24.0,19,179,59,33.0,94,63,22,23,3,0,20,2,27,40,0,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,50,28,34,15,1,21,37,56.8,16,242,77,31.8,146,83,13,32,16,1,16,32,82,145,1,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,1,0,1,0,0,0,0,,0,13,4,30.8,5,4,4,1,0,0,1,0,1,0,0,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,21,14,5,12,4,8,24,33.3,16,224,38,17.0,68,103,53,27,6,0,21,12,33,24,0,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,8,5,5,2,1,1,10,10.0,9,121,29,24.0,22,59,40,18,0,0,18,2,10,6,0,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,80,49,30,37,13,27,86,31.4,59,678,182,26.8,199,334,145,65,9,0,56,35,115,29,0,Matches
204,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,90,57,43,40,7,36,103,35.0,67,632,212,33.5,206,338,88,63,6,0,57,45,135,78,2,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,3,3,3,0,0,0,0,,0,11,3,27.3,5,5,1,0,0,0,0,0,3,0,0,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,4,4,2,1,1,1,3,33.3,2,36,9,25.0,9,14,13,6,0,0,6,0,4,1,0,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,2,2,0,2,0,1,2,50.0,1,23,5,21.7,4,6,13,2,1,0,1,0,2,0,0,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,6,5,0,4,2,3,10,30.0,7,193,56,29.0,21,89,83,9,1,0,8,4,10,5,0,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,51,32,17,24,10,15,69,21.7,54,859,227,26.4,148,363,348,64,5,0,59,12,63,24,0,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,27,14,11,14,2,10,33,30.3,23,369,96,26.0,99,181,89,20,3,0,17,13,40,13,1,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,6,4,4,2,0,1,6,16.7,5,26,9,34.6,18,8,0,9,5,0,4,4,10,26,0,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,7,3,2,2,3,3,6,50.0,3,51,20,39.2,15,16,20,5,0,0,5,1,8,4,0,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,25,15,6,12,7,6,45,13.3,39,569,143,25.1,124,263,182,37,4,0,33,8,33,10,0,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,0,1,1,0,0,0,0,0,0,0,0,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,42,23,20,17,5,14,31,45.2,17,271,72,26.6,125,113,33,46,8,0,38,23,65,39,0,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,16,6,7,5,4,6,17,35.3,11,137,31,22.6,55,53,29,14,2,0,12,6,22,25,0,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,25,19,4,9,12,5,25,20.0,20,419,127,30.3,25,154,240,31,4,0,27,14,39,7,0,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,29,23,7,15,7,2,26,7.7,24,589,141,23.9,33,292,264,32,4,0,28,14,43,31,0,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,30,19,5,17,8,11,35,31.4,24,595,135,22.7,73,311,211,33,7,1,26,11,41,28,0,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,8,4,5,2,1,4,6,66.7,2,36,6,16.7,19,10,7,9,3,0,6,3,11,15,0,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,2,5,1,0,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,4,2,2,2,0,2,2,100.0,0,18,9,50.0,12,5,1,1,0,0,1,4,8,19,1,Matches
223,Bruno Jordão\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,69,44,22,35,12,27,85,31.8,58,556,162,29.1,187,298,71,41,5,1,36,64,133,34,0,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,3,2,1,1,1,2,9,22.2,7,119,17,14.3,43,52,24,3,0,0,3,3,6,6,0,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,34,21,13,18,3,12,44,27.3,32,573,127,22.2,124,294,155,17,0,0,17,8,42,9,0,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,35,19,21,13,1,13,23,56.5,10,158,57,36.1,75,59,24,25,7,0,18,9,44,30,0,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,40,24,32,8,0,16,36,44.4,20,248,86,34.7,141,89,18,55,28,0,27,37,77,170,2,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,20,14,5,13,2,6,19,31.6,13,448,100,22.3,22,219,207,31,12,0,19,5,25,30,0,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,58,43,29,22,7,12,33,36.4,21,438,141,32.2,153,190,95,43,3,0,40,46,104,35,0,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,7,6,2,2,3,0,3,0.0,3,119,36,30.3,12,50,57,4,1,0,3,6,13,3,0,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,41,26,26,14,1,15,27,55.6,12,189,65,34.4,124,60,5,52,27,0,25,46,87,208,1,Matches
233,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,27,20,8,13,6,9,25,36.0,16,213,78,36.6,41,99,73,19,0,0,19,11,38,4,0,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,9,6,5,4,0,5,9,55.6,4,73,29,39.7,39,27,7,11,6,0,5,6,15,17,1,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,24,18,18,6,0,12,29,41.4,17,181,63,34.8,129,42,10,50,15,0,35,15,39,102,3,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,4,3,3,1,0,2,4,50.0,2,17,5,29.4,11,5,1,2,1,0,1,4,8,17,0,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,19,15,8,7,4,2,15,13.3,13,496,123,24.8,80,219,197,27,4,0,23,5,24,11,0,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,9,4,4,5,0,5,11,45.5,6,54,24,44.4,37,17,0,11,6,0,5,8,17,29,2,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,0,0,0,0,0,0,1,0.0,1,33,9,27.3,6,15,12,2,2,0,0,0,0,2,0,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,35,18,22,6,7,12,25,48.0,13,230,67,29.1,116,81,33,23,5,0,18,24,59,45,1,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,22.7,27,18,20,7,0,6,16,37.5,10,193,63,32.6,107,65,21,55,23,0,32,21,48,83,3,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,70,45,45,23,2,23,50,46.0,27,418,123,29.4,190,178,50,60,13,0,47,38,108,79,1,Matches
243,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,80,55,31,42,7,30,78,38.5,48,534,173,32.4,152,282,100,28,2,0,26,20,100,17,0,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,20,12,16,2,2,6,21,28.6,15,134,40,29.9,85,36,13,20,9,0,11,9,29,40,0,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,0,0,0,0,0,0,1,0.0,1,7,1,14.3,7,0,0,0,0,0,0,1,1,1,1,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,23,19,6,12,5,4,17,23.5,13,464,114,24.6,55,220,189,13,0,0,13,7,30,14,0,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,20,12,9,9,2,9,27,33.3,18,132,41,31.1,45,54,33,13,0,0,13,4,24,3,0,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,27,21,8,15,4,5,22,22.7,17,315,88,27.9,81,150,84,19,3,0,16,7,34,8,0,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,9,3,8,1,0,0,9,0.0,9,91,17,18.7,39,32,20,13,1,0,12,18,27,15,1,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,2,0,1,1,0,2,2,100.0,0,3,3,100.0,1,1,1,0,0,0,0,0,2,0,0,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,5,2,3,1,1,0,4,0.0,4,61,18,29.5,24,18,19,6,0,0,6,0,5,1,0,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,11,9,6,3,2,5,37,13.5,32,344,76,22.1,77,198,69,12,1,0,11,9,20,4,0,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,12,8,8,4,0,7,13,53.8,6,62,26,41.9,32,27,3,6,5,0,1,19,31,39,2,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,18,10,14,4,0,5,14,35.7,9,163,60,36.8,110,47,6,37,23,0,14,29,47,165,1,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,11,2,9,2,0,6,14,42.9,8,98,22,22.4,46,40,12,6,0,0,6,3,14,4,0,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,18,9,10,6,2,5,20,25.0,15,160,33,20.6,85,49,26,18,5,0,13,8,26,6,0,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,8,6,6,2,0,5,9,55.6,4,58,19,32.8,39,18,1,13,2,0,11,11,19,27,1,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,15,9,7,4,4,9,14,64.3,5,143,27,18.9,37,67,39,8,2,0,6,7,22,6,0,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,0,0,0,0,0,0,3,0.0,3,1,0,0.0,1,0,0,0,0,0,0,0,0,2,1,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,81,49,28,47,6,29,62,46.8,33,575,173,30.1,205,322,48,50,12,0,38,54,135,69,0,Matches
