,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
392,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,4,4,1,1,2,1,4,25.0,3,178,50,28.1,29,80,69,4,0,0,4,5,9,2,0,Matches
393,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,5.6,9,3,5,4,0,5,10,50.0,5,53,16,30.2,32,19,2,15,5,0,10,7,16,39,0,Matches
394,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,27.6,64,44,23,33,8,28,68,41.2,40,462,137,29.7,142,254,66,28,6,0,22,28,92,61,0,Matches
395,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,22.4,33,17,7,16,10,6,36,16.7,30,574,150,26.1,77,244,253,43,11,0,32,5,38,7,0,Matches
396,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sheffield Utd,28,1991,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,1,0,Matches
397,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,29,1990,1.4,2,1,1,1,0,0,3,0.0,3,16,4,25.0,6,9,1,1,1,0,0,0,2,9,0,Matches
398,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,27,1991,20.7,56,39,22,28,6,29,83,34.9,54,441,141,32.0,169,222,50,58,15,0,43,32,88,56,0,Matches
399,Danny Rose\Danny-Rose,eng ENG,DF,Newcastle Utd,29,1990,9.6,26,15,15,10,1,9,20,45.0,11,92,29,31.5,57,30,5,11,1,0,10,9,35,21,0,Matches
400,Danny Rose\Danny-Rose,eng ENG,DF,Tottenham,29,1990,9.9,16,13,5,7,4,7,17,41.2,10,103,34,33.0,47,35,21,23,7,0,16,7,23,34,0,Matches
401,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,26,1993,19.0,43,24,28,13,2,13,21,61.9,8,166,64,38.6,99,64,3,27,8,0,19,13,56,108,2,Matches
402,Lukas Rupp\Lukas-Rupp,de GER,FWMF,Norwich City,28,1991,7.7,13,9,7,3,3,2,15,13.3,13,192,48,25.0,80,83,29,17,1,0,16,14,27,4,1,Matches
403,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,27,1992,38.0,0,0,0,0,0,0,5,0.0,5,10,4,40.0,10,0,0,0,0,0,0,2,2,2,4,Matches
404,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,MFFW,Newcastle Utd,22,1997,20.7,17,11,11,2,4,5,25,20.0,20,251,62,24.7,75,113,63,21,3,0,18,9,26,6,0,Matches
405,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,29,1990,30.1,66,30,46,20,0,23,45,51.1,22,343,116,33.8,228,106,9,58,19,0,39,51,117,201,1,Matches
406,Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,38,22,20,11,7,13,33,39.4,20,288,84,29.2,105,106,77,25,4,0,21,12,50,21,1,Matches
407,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,12,7,10,1,1,0,5,0.0,5,53,15,28.3,34,19,0,15,5,0,10,22,34,53,1,Matches
408,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,27,1992,32.0,21,13,3,5,13,4,27,14.8,23,552,180,32.6,48,161,343,13,3,0,10,8,29,2,0,Matches
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,9,7,1,6,2,1,9,11.1,8,173,45,26.0,7,84,82,8,1,0,7,1,10,6,0,Matches
410,Carlos Sánchez\Carlos-Sanchez,co COL,MFDF,West Ham,33,1986,1.3,2,1,0,2,0,1,1,100.0,0,26,6,23.1,6,18,2,2,0,0,2,2,4,5,0,Matches
411,Davinson Sánchez\Davinson-Sanchez,co COL,DF,Tottenham,23,1996,27.0,49,36,37,12,0,17,52,32.7,35,278,105,37.8,189,83,6,56,29,0,27,34,83,160,2,Matches
412,Leroy Sané\Leroy-Sane,de GER,FW,Manchester City,23,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
413,Ismaila Sarr\Ismaila-Sarr,sn SEN,FWMF,Watford,21,1998,22.5,25,19,13,5,7,5,22,22.7,17,423,102,24.1,108,182,133,20,3,0,17,15,40,6,0,Matches
414,Fabian Schär\Fabian-Schar,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,49,27,35,12,2,22,48,45.8,26,225,60,26.7,149,68,8,44,21,1,23,51,100,104,2,Matches
415,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4.0,6,5,4,1,1,0,5,0.0,5,47,14,29.8,26,14,7,7,0,0,7,7,13,17,0,Matches
416,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MFDF,Crystal Palace,26,1992,11.5,20,6,12,8,0,3,13,23.1,10,149,36,24.2,55,71,23,25,3,0,22,13,33,15,0,Matches
417,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,32,1986,38.0,0,0,0,0,0,0,1,0.0,1,5,2,40.0,5,0,0,0,0,0,0,0,0,0,1,Matches
418,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,29,1989,11.1,32,19,14,16,2,9,34,26.5,25,230,58,25.2,89,122,19,22,3,0,19,21,53,24,0,Matches
419,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,5,0,2,3,0,2,5,40.0,3,51,11,21.6,21,19,11,4,0,0,4,1,6,15,0,Matches
420,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,FW,Liverpool,27,1991,2.1,1,0,0,1,0,0,0,,0,39,12,30.8,11,13,15,1,0,0,1,0,1,0,0,Matches
421,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,11.7,9,5,3,2,4,1,4,25.0,3,217,55,25.3,16,91,110,4,0,0,4,1,10,1,0,Matches
422,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,34,24,18,10,6,15,35,42.9,20,274,78,28.5,120,118,36,53,7,0,46,22,56,58,0,Matches
423,Jonjo Shelvey\Jonjo-Shelvey,eng ENG,MF,Newcastle Utd,27,1992,23.5,30,16,15,14,1,8,41,19.5,33,392,88,22.4,173,189,30,26,5,0,21,22,52,54,0,Matches
424,Djibril Sidibé\Djibril-Sidibe,fr FRA,DF,Everton,27,1992,20.3,84,40,48,21,15,34,72,47.2,38,392,114,29.1,200,130,62,37,3,0,34,41,125,50,0,Matches
425,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,MF,Everton,29,1989,28.4,60,45,15,31,14,24,88,27.3,64,652,165,25.3,158,348,146,49,5,0,44,36,96,16,1,Matches
426,Bernardo Silva\Bernardo-Silva,pt POR,FWMF,Manchester City,24,1994,22.6,39,26,15,14,10,15,49,30.6,34,408,124,30.4,63,179,166,36,1,0,35,26,65,11,0,Matches
427,David Silva\David-Silva,es ESP,MF,Manchester City,33,1986,20.3,26,16,3,14,9,10,26,38.5,16,302,96,31.8,32,150,120,21,4,0,17,12,38,7,1,Matches
428,Jack Simpson\Jack-Simpson,eng ENG,DF,Bournemouth,22,1997,2.7,5,2,5,0,0,2,6,33.3,4,32,4,12.5,17,13,2,2,0,0,2,2,7,13,1,Matches
429,Moussa Sissoko\Moussa-Sissoko,fr FRA,MF,Tottenham,29,1989,27.2,56,35,36,19,1,20,50,40.0,30,437,126,28.8,219,167,51,38,5,0,33,31,87,48,0,Matches
430,Oliver Skipp\Oliver-Skipp,eng ENG,MFDF,Tottenham,18,2000,0.9,3,2,1,2,0,1,2,50.0,1,31,6,19.4,14,14,3,3,1,0,2,0,3,0,0,Matches
431,William Smallbone\William-Smallbone,ie IRL,MF,Southampton,19,2000,4.4,12,8,3,8,1,4,12,33.3,8,72,27,37.5,13,30,29,10,1,0,9,2,14,3,0,Matches
432,Adam Smith\Adam-Smith,eng ENG,DF,Bournemouth,28,1991,22.8,52,30,32,15,5,24,54,44.4,30,406,111,27.3,182,155,69,56,6,1,50,25,77,53,0,Matches
433,Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,Arsenal,19,2000,1.1,1,1,1,0,0,1,3,33.3,2,22,7,31.8,6,10,6,1,0,0,1,1,2,3,0,Matches
434,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,27,10,17,9,1,10,40,25.0,30,367,90,24.5,118,185,64,21,2,0,19,5,32,16,0,Matches
435,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,27,1991,14.5,46,24,22,21,3,18,38,47.4,20,298,92,30.9,144,114,40,37,4,0,33,18,64,59,0,Matches
436,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,6,5,2,4,0,2,5,40.0,3,55,15,27.3,23,26,6,10,0,0,10,3,9,2,0,Matches
437,Dominic Solanke\Dominic-Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,11,10,2,9,0,3,27,11.1,24,643,151,23.5,84,319,240,19,5,0,14,8,19,21,0,Matches
438,Tomáš Souček\Tomas-Soucek,cz CZE,MF,West Ham,24,1995,11.6,35,25,15,17,3,5,19,26.3,14,240,77,32.1,96,102,42,16,3,0,13,22,57,38,0,Matches
439,Çağlar Söyüncü\Caglar-Soyuncu,tr TUR,DF,Leicester City,23,1996,33.7,73,47,49,23,1,29,55,52.7,26,298,119,39.9,188,102,8,49,19,2,30,43,116,222,1,Matches
440,Dennis Srbeny\Dennis-Srbeny,de GER,MFFW,Norwich City,25,1994,0.5,5,4,3,2,0,1,3,33.3,2,20,9,45.0,4,9,7,0,0,0,0,0,5,1,0,Matches
441,Jack Stacey\Jack-Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,21,13,13,5,3,5,21,23.8,16,241,62,25.7,116,80,45,41,9,0,32,21,42,53,1,Matches
442,Junior Stanislas\Junior-Stanislas,eng ENG,MFDF,Bournemouth,29,1989,7.9,10,6,2,2,6,4,9,44.4,5,107,34,31.8,32,41,34,9,0,0,9,5,15,2,0,Matches
443,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,26,1992,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
444,Dale Stephens\Dale-Stephens,eng ENG,MF,Brighton,30,1989,28.1,76,40,32,35,9,21,71,29.6,50,465,150,32.3,206,224,35,43,13,1,30,58,134,46,3,Matches
445,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,25,1994,27.2,56,35,41,14,1,21,49,42.9,28,223,78,35.0,145,70,8,60,26,0,34,30,86,183,2,Matches
446,Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,24,1994,29.5,41,29,8,19,14,10,33,30.3,23,412,132,32.0,67,177,168,25,3,0,22,14,55,8,0,Matches
447,Enda Stevens\Enda-Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,76,43,43,25,8,24,74,32.4,50,609,162,26.6,277,225,107,76,6,0,70,36,112,89,2,Matches
448,Marco Stiepermann\Marco-Stiepermann,de GER,MF,Norwich City,28,1991,13.1,18,7,9,7,2,6,22,27.3,16,257,53,20.6,47,132,78,15,4,0,11,5,23,16,0,Matches
449,John Stones\John-Stones,eng ENG,DF,Manchester City,25,1994,12.5,19,12,10,7,2,4,8,50.0,4,90,39,43.3,47,38,5,15,3,0,12,8,27,38,1,Matches
450,Isaac Success\Isaac-Success,ng NGA,FWMF,Watford,23,1996,0.8,0,0,0,0,0,0,0,,0,14,2,14.3,0,3,11,0,0,0,0,1,1,0,0,Matches
451,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Newcastle Utd,30,1989,1.5,1,1,1,0,0,0,2,0.0,2,39,4,10.3,21,15,3,1,0,0,1,2,3,3,0,Matches
452,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,5,2,2,3,0,3,4,75.0,1,45,11,24.4,19,20,6,4,0,0,4,1,6,6,0,Matches
453,Sam Surridge\Sam-Surridge,eng ENG,FW,Bournemouth,21,1998,0.3,0,0,0,0,0,0,0,,0,17,3,17.6,0,8,9,1,0,0,1,1,1,0,0,Matches
454,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,20,1999,5.8,20,15,14,5,1,9,19,47.4,10,95,30,31.6,52,38,5,12,5,1,7,11,31,33,1,Matches
455,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,23,1995,25.5,57,33,38,16,3,20,56,35.7,36,372,109,29.3,184,145,43,68,9,0,59,60,117,88,1,Matches
456,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,76,51,54,22,0,25,50,50.0,25,313,100,31.9,217,84,12,85,46,0,39,61,137,329,1,Matches
457,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,25,1993,21.6,43,16,26,14,3,17,43,39.5,26,224,65,29.0,117,79,28,60,7,0,53,29,72,106,1,Matches
458,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,30,1989,12.1,19,9,14,5,0,9,21,42.9,12,121,33,27.3,61,53,7,38,5,0,33,20,39,32,0,Matches
459,Nathan Tella\Nathan-Tella,eng ENG,FW,Southampton,20,1999,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0,Matches
460,Alexander Tettey\Alexander-Tettey,no NOR,MFDF,Norwich City,33,1986,26.0,31,20,11,18,2,12,43,27.9,31,383,98,25.6,182,179,22,40,15,0,25,43,74,85,0,Matches
461,Jordan Thomas\Jordan-Thomas,eng ENG,FW,Norwich City,,,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
462,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,3.0,4,3,2,2,0,1,4,25.0,3,36,8,22.2,13,17,6,3,0,0,3,4,8,10,0,Matches
463,Max Thompson\Max-Thompson,eng ENG,FW,Burnley,17,2002,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
464,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,22,1997,31.4,57,40,18,28,11,15,71,21.1,56,608,168,27.6,155,327,126,51,6,0,45,29,86,24,0,Matches
465,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,22,1997,11.0,21,11,12,5,4,10,15,66.7,5,126,39,31.0,62,51,13,22,4,0,18,9,30,44,0,Matches
466,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,30,14,23,7,0,12,18,66.7,6,138,45,32.6,98,35,5,33,15,0,18,23,53,138,0,Matches
467,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,21,1997,14.3,30,15,19,10,1,7,13,53.8,6,149,48,32.2,82,64,3,29,9,0,20,20,50,93,2,Matches
468,Lucas Torreira\Lucas-Torreira,uy URU,MF,Arsenal,23,1996,16.8,37,24,17,16,4,12,34,35.3,22,403,102,25.3,156,200,47,29,9,0,20,31,68,30,1,Matches
469,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Crystal Palace,28,1991,2.0,2,2,2,0,0,0,0,,0,70,11,15.7,16,41,13,3,0,0,3,0,2,1,0,Matches
470,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,28,1991,3.2,2,0,0,0,2,0,2,0.0,2,54,16,29.6,1,21,32,2,1,0,1,0,2,1,0,Matches
471,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,28,1991,14.4,32,20,14,13,5,14,36,38.9,22,290,65,22.4,104,126,60,28,0,0,28,16,48,10,0,Matches
472,Adama Traoré\Adama-Traore,es ESP,FWMF,Wolves,23,1996,28.9,41,23,15,14,12,10,27,37.0,17,404,108,26.7,98,198,108,28,4,0,24,18,59,24,0,Matches
473,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,20,1999,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,Matches
474,Trézéguet\Trezeguet,eg EGY,FWMF,Aston Villa,24,1994,21.7,42,28,20,14,8,7,42,16.7,35,530,129,24.3,163,231,136,41,2,0,39,26,68,17,0,Matches
475,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,24,1994,22.3,28,16,13,12,3,9,39,23.1,30,373,100,26.8,72,169,132,29,2,0,27,8,36,5,0,Matches
476,Tom Trybull\Tom-Trybull,de GER,MF,Norwich City,26,1993,12.6,49,30,26,18,5,18,66,27.3,48,394,113,28.7,175,202,17,21,7,0,14,16,65,38,0,Matches
477,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,3,3,0,3,0,0,1,0.0,1,30,8,26.7,12,14,4,7,0,0,7,5,8,6,1,Matches
478,Yan Valery\Yan-Valery,fr FRA,DF,Southampton,20,1999,8.7,21,13,12,6,3,5,20,25.0,15,171,49,28.7,84,52,35,19,2,0,17,12,33,40,2,Matches
479,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,4,3,4,0,0,1,3,33.3,2,20,6,30.0,8,10,2,4,3,0,1,1,5,13,0,Matches
480,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,32,1987,33.7,17,11,1,10,6,1,6,16.7,5,497,146,29.4,5,183,309,29,5,0,24,2,19,23,0,Matches
481,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Aston Villa,18,2001,0.6,1,1,0,1,0,0,1,0.0,1,24,7,29.2,3,7,14,0,0,0,0,0,1,0,0,Matches
482,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,31,21,17,13,1,10,20,50.0,10,154,51,33.1,98,49,7,30,10,0,20,31,62,116,0,Matches
483,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,25,12,19,5,1,8,28,28.6,20,134,49,36.6,86,45,3,22,9,0,13,24,49,163,1,Matches
484,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,20,1999,7.2,25,13,18,5,2,11,16,68.8,5,117,38,32.5,59,47,11,20,2,0,18,8,33,20,0,Matches
485,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,19,2000,1.0,2,0,1,1,0,1,1,100.0,0,13,6,46.2,4,5,4,1,0,0,1,0,2,1,0,Matches
486,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,7.1,27,14,13,13,1,13,27,48.1,14,132,31,23.5,60,51,21,14,1,0,13,8,35,7,1,Matches
487,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,27,1992,9.1,4,2,1,2,1,2,6,33.3,4,184,47,25.5,16,65,103,12,3,0,9,1,5,7,0,Matches
488,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,14.3,17,8,10,5,2,5,14,35.7,9,190,46,24.2,53,85,52,18,1,0,17,8,25,5,0,Matches
489,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,26.6,33,23,14,17,2,19,33,57.6,14,256,101,39.5,93,119,44,31,6,1,25,29,62,64,0,Matches
490,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Tottenham,22,1997,2.7,5,3,5,0,0,1,5,20.0,4,36,12,33.3,19,11,6,6,2,0,4,2,7,9,0,Matches
491,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,22,1997,7.8,14,8,8,4,2,7,21,33.3,14,98,29,29.6,41,46,11,24,3,0,21,13,27,28,1,Matches
492,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,138,65,82,48,8,45,73,61.6,28,611,176,28.8,304,228,79,101,14,0,87,65,203,108,0,Matches
493,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,28,1991,0.3,1,0,0,1,0,0,0,,0,6,0,0.0,2,3,1,0,0,0,0,0,1,1,0,Matches
494,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,29,1989,26.5,67,31,44,18,5,28,54,51.9,26,318,84,26.4,198,87,33,46,4,1,42,52,119,106,1,Matches
495,James Ward-Prowse\James-Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,95,56,31,52,12,37,105,35.2,68,826,244,29.5,286,409,131,67,14,0,53,54,149,109,2,Matches
496,Kelland Watts\Kelland-Watts,eng ENG,DF,Newcastle Utd,19,1999,0.2,1,0,1,0,0,1,1,100.0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,Matches
497,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,24,1995,29.6,37,25,25,10,2,16,36,44.4,20,222,86,38.7,146,67,9,66,31,0,35,43,80,182,3,Matches
498,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Watford,28,1990,9.1,10,9,4,5,1,1,11,9.1,10,163,52,31.9,33,72,58,12,2,0,10,5,15,6,0,Matches
499,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,29,1990,35.0,49,31,18,23,8,17,59,28.8,42,609,152,25.0,204,309,96,45,9,0,36,32,81,32,1,Matches
500,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,1.1,2,2,1,1,0,0,0,,0,28,10,35.7,3,13,12,3,1,0,2,0,2,1,0,Matches
501,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,28,1990,32.6,37,29,13,17,7,5,34,14.7,29,489,160,32.7,126,255,108,35,4,0,31,18,55,34,1,Matches
502,Jetro Willems\Jetro-Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,32,19,27,4,1,10,32,31.3,22,230,65,28.3,140,66,24,32,7,0,25,16,48,49,0,Matches
503,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,11.2,19,5,12,5,2,8,28,28.6,20,166,40,24.1,74,63,29,36,6,0,30,11,30,23,0,Matches
504,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,2.6,6,2,1,3,2,3,4,75.0,1,36,12,33.3,11,15,10,7,1,0,6,8,14,8,0,Matches
505,Willian\Willian,br BRA,FW,Chelsea,30,1988,28.9,43,27,13,22,8,11,51,21.6,40,529,150,28.4,98,261,170,22,1,0,21,20,63,11,0,Matches
506,Joe Willock\Joe-Willock,eng ENG,MFFW,Arsenal,19,1999,9.5,22,15,6,10,6,4,20,20.0,16,242,67,27.7,76,128,38,19,5,1,14,3,25,12,0,Matches
507,Jack Wilshere\Jack-Wilshere,eng ENG,MF,West Ham,27,1992,2.4,1,0,0,1,0,1,6,16.7,5,63,21,33.3,15,34,14,6,0,0,6,1,2,1,0,Matches
508,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,27,1992,32.3,15,12,2,6,7,1,14,7.1,13,770,206,26.8,53,323,394,18,2,0,16,3,18,15,0,Matches
509,Harry Wilson\Harry-Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,25,11,7,12,6,13,36,36.1,23,411,96,23.4,135,193,83,38,3,0,35,12,37,21,0,Matches
510,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,23,1996,24.7,42,23,19,21,2,19,59,32.2,40,435,130,29.9,196,202,37,31,9,0,22,37,79,33,0,Matches
511,Chris Wood\Chris-Wood,nz NZL,FW,Burnley,27,1991,27.1,9,6,1,3,5,4,18,22.2,14,408,92,22.5,23,151,234,18,4,0,14,4,13,17,0,Matches
512,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,26,1992,28.7,46,27,27,15,4,18,55,32.7,37,433,126,29.1,157,232,44,55,17,1,38,21,67,85,0,Matches
513,Andriy Yarmolenko\Andriy-Yarmolenko,ua UKR,MFFW,West Ham,29,1989,11.0,15,10,7,7,1,5,21,23.8,16,167,46,27.5,41,76,50,8,1,0,7,6,21,6,0,Matches
514,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,19,14,13,5,1,4,12,33.3,8,181,38,21.0,97,49,35,26,8,2,18,9,28,21,0,Matches
515,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,30,1988,6.2,7,5,4,0,3,2,6,33.3,4,43,12,27.9,27,16,0,11,4,0,7,3,10,41,1,Matches
516,Ashley Young\Ashley-Young,eng ENG,DF,Manchester Utd,34,1985,10.6,10,4,4,3,3,2,21,9.5,19,119,35,29.4,47,57,15,24,2,0,22,10,20,30,0,Matches
517,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DF,West Ham,34,1985,6.6,15,10,9,5,1,4,15,26.7,11,93,27,29.0,53,25,15,16,3,0,13,13,28,20,0,Matches
518,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,45,31,16,15,14,10,45,22.2,35,813,237,29.2,230,343,240,33,2,0,31,16,61,4,0,Matches
519,Christoph Zimmermann\Christoph-Zimmermann,de GER,DF,Norwich City,26,1993,15.9,31,21,23,7,1,16,25,64.0,9,123,38,30.9,92,30,1,33,23,1,10,18,49,123,1,Matches
520,Oleksandr Zinchenko\Oleksandr-Zinchenko,ua UKR,DF,Manchester City,22,1996,14.2,28,16,15,11,2,17,39,43.6,22,139,45,32.4,45,57,37,20,0,0,20,15,43,36,1,Matches
521,Richairo Živković\Richairo-Zivkovic,nl NED,FW,Sheffield Utd,22,1996,1.2,2,2,0,2,0,0,1,0.0,1,39,13,33.3,2,17,20,1,0,0,1,0,2,0,0,Matches
522,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,24,1994,26.0,33,17,25,8,0,3,8,37.5,5,177,55,31.1,102,72,3,34,16,0,18,55,88,181,3,Matches