,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,729,908,80.3,17549,5757,4,14,28.6,426,485,87.8,299,409,73.1,0,0.3,-0.3,4,57,2,0,53,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,1674,2244,74.6,34634,10510,27,91,29.7,1176,1423,82.6,471,730,64.5,20,18.4,+1.6,131,172,124,19,353,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,405,707,57.3,6233,2062,13,48,27.1,340,542,62.7,52,117,44.4,2,3.4,-1.4,27,49,25,1,72,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,676,778,86.9,14008,3540,7,16,43.8,480,522,92.0,189,240,78.8,0,0.3,-0.3,6,63,15,4,67,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,1087,1284,84.7,22070,4878,8,36,22.2,799,921,86.8,280,327,85.6,0,0.6,-0.6,7,54,4,1,59,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,603,823,73.3,10186,2555,26,73,35.6,461,558,82.6,116,192,60.4,5,4.6,+0.4,45,30,29,2,75,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,713,876,81.4,15425,4283,13,20,65.0,463,538,86.1,237,318,74.5,2,0.1,+1.9,4,56,3,0,45,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,1353,1946,69.5,25902,11352,15,82,18.3,1048,1287,81.4,290,577,50.3,7,5.7,+1.3,70,97,42,24,302,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.3,-0.3,7,228,9,0,156,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,755,948,79.6,15502,5630,17,39,43.6,517,588,87.9,221,321,68.8,1,0.8,+0.2,4,51,2,0,44,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,191,264,72.3,2736,894,8,21,38.1,166,205,81.0,17,38,44.7,2,1.3,+0.7,13,11,15,2,33,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,1369,1793,76.4,22390,9051,33,86,38.4,1133,1380,82.1,203,327,62.1,3,1.7,+1.3,23,86,18,9,239,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,1302,1658,78.5,21942,4818,44,112,39.3,1029,1240,83.0,229,306,74.8,2,2.6,-0.6,33,119,31,4,110,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,19,100.0,279,26,0,0,,17,17,100.0,2,2,100.0,0,0.0,0.0,0,1,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,11,20,55.0,183,39,0,3,0.0,10,12,83.3,1,5,20.0,0,0.0,0.0,0,0,0,0,2,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,136,167,81.4,2638,565,2,7,28.6,98,113,86.7,36,47,76.6,0,0.0,0.0,1,16,1,0,11,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,125,164,76.2,1674,187,7,14,50.0,107,125,85.6,11,25,44.0,0,0.4,-0.4,3,5,0,0,5,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,595,1093,54.4,25708,19289,3,5,60.0,176,182,96.7,416,906,45.9,0,0.0,0.0,0,19,0,0,2,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,298,382,78.0,4770,1184,14,27,51.9,239,271,88.2,45,84,53.6,0,1.0,-1.0,14,17,10,2,37,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,515,613,84.0,12117,3501,5,11,45.5,311,349,89.1,199,253,78.7,0,0.0,0.0,1,26,4,0,24,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,358,502,71.3,6793,3372,3,14,21.4,283,330,85.8,72,158,45.6,0,0.1,-0.1,4,46,4,3,48,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,1913,2192,87.3,45038,13465,11,22,50.0,1215,1293,94.0,687,877,78.3,3,1.1,+1.9,11,129,5,0,97,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,927,1063,87.2,23484,13255,1,1,100.0,579,584,99.1,347,478,72.6,0,0.1,-0.1,1,11,0,0,0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1017,1212,83.9,24161,6506,10,20,50.0,603,671,89.9,404,521,77.5,0,0.1,-0.1,1,67,2,0,73,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,12,15,80.0,204,79,0,0,,10,11,90.9,2,4,50.0,0,0.0,0.0,0,2,1,1,4,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,484,633,76.5,9323,3709,6,22,27.3,376,430,87.4,102,181,56.4,1,2.6,-1.6,19,42,22,16,78,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,503,605,83.1,11925,3869,3,7,42.9,300,340,88.2,200,258,77.5,0,0.1,-0.1,1,46,1,1,38,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,549,743,73.9,10139,2773,7,19,36.8,419,499,84.0,123,225,54.7,2,1.9,+0.1,23,58,21,1,76,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,2088,2372,88.0,47140,13760,6,14,42.9,1357,1461,92.9,725,897,80.8,1,0.6,+0.4,7,144,5,1,126,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,378,672,56.3,17199,13323,1,3,33.3,82,83,98.8,295,586,50.3,0,0.0,0.0,0,7,0,0,0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1334,1528,87.3,27065,5338,19,35,54.3,962,1056,91.1,353,437,80.8,3,1.8,+1.2,18,129,21,2,101,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,7,10,70.0,129,81,0,0,,5,5,100.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,995,1289,77.2,16211,6755,21,48,43.8,833,991,84.1,141,250,56.4,0,1.6,-1.6,19,56,28,16,160,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,608,853,71.3,11698,3233,6,38,15.8,463,564,82.1,139,251,55.4,7,2.6,+4.4,34,72,23,2,100,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,40,51,78.4,576,169,3,5,60.0,32,36,88.9,5,10,50.0,0,0.2,-0.2,2,1,3,1,8,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,907,1184,76.6,20097,8025,13,37,35.1,597,690,86.5,297,457,65.0,2,0.2,+1.8,3,42,7,4,74,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,1985,2190,90.6,44224,14225,12,28,42.9,1303,1395,93.4,670,767,87.4,1,0.6,+0.4,7,226,11,1,168,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,931,1171,79.5,14337,3583,42,101,41.6,765,921,83.1,124,149,83.2,8,6.0,+2.0,49,70,35,0,102,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,854,1164,73.4,15203,4967,31,79,39.2,663,775,85.5,160,310,51.6,2,3.4,-1.4,38,91,33,7,130,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,431,508,84.8,6922,1357,10,23,43.5,361,401,90.0,60,84,71.4,2,2.0,0.0,18,28,13,2,37,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,680,897,75.8,10962,3027,28,74,37.8,555,654,84.9,97,169,57.4,5,2.1,+2.9,18,49,27,6,77,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,535,1203,44.5,24926,20280,1,1,100.0,126,129,97.7,408,1073,38.0,0,0.0,0.0,0,30,2,0,4,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,62,73,84.9,1076,303,2,4,50.0,50,58,86.2,10,11,90.9,0,0.1,-0.1,2,2,0,0,7,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,10,13,76.9,172,63,1,2,50.0,6,6,100.0,3,5,60.0,0,0.0,0.0,1,1,0,0,2,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,53,60,88.3,1027,341,0,0,,40,43,93.0,13,17,76.5,0,0.0,0.0,1,3,0,0,6,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,425,544,78.1,8941,3412,1,8,12.5,312,355,87.9,112,181,61.9,0,0.3,-0.3,4,26,5,4,36,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,648,950,68.2,11071,4285,16,54,29.6,537,650,82.6,95,246,38.6,4,4.1,-0.1,43,55,41,7,142,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,1463,1714,85.4,29437,7269,23,56,41.1,1045,1149,90.9,395,509,77.6,0,2.5,-2.5,37,155,15,3,150,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,795,1096,72.5,12813,5421,23,68,33.8,658,807,81.5,114,221,51.6,3,2.4,+0.6,25,43,25,15,107,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,2,2,100.0,28,6,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,110,150,73.3,1584,483,4,14,28.6,94,114,82.5,12,22,54.5,0,0.3,-0.3,3,7,4,3,15,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,510,630,81.0,9900,3725,6,17,35.3,397,435,91.3,107,178,60.1,0,0.1,-0.1,2,41,6,2,57,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,672,705,95.3,13842,3724,6,11,54.5,468,487,96.1,198,207,95.7,0,0.2,-0.2,2,42,1,1,41,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,15,100.0,253,44,0,0,,12,12,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,1,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,110,150,73.3,1683,222,8,12,66.7,86,111,77.5,16,27,59.3,2,0.8,+1.2,5,6,1,1,9,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,319,516,61.8,9683,6264,0,0,,185,186,99.5,134,330,40.6,0,0.3,-0.3,1,6,0,0,0,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,50,67,74.6,779,185,1,4,25.0,42,47,89.4,7,16,43.8,0,0.0,0.0,0,5,0,0,3,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,726,934,77.7,18877,11037,0,4,0.0,453,456,99.3,273,474,57.6,0,0.0,0.0,0,6,0,0,0,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,402,615,65.4,6816,1948,15,56,26.8,313,407,76.9,74,152,48.7,4,2.8,+1.2,32,16,22,15,69,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,66,82,80.5,1160,293,0,1,0.0,55,63,87.3,11,18,61.1,0,0.1,-0.1,3,5,3,0,8,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,151,169,89.3,2892,604,5,5,100.0,113,128,88.3,33,36,91.7,0,0.1,-0.1,4,6,0,0,8,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,207,306,67.6,2513,295,13,29,44.8,185,257,72.0,9,20,45.0,0,1.3,-1.3,7,8,4,0,6,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,1413,1606,88.0,30189,8596,10,28,35.7,980,1050,93.3,423,528,80.1,0,0.1,-0.1,3,76,2,0,62,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,719,859,83.7,16374,4188,7,20,35.0,476,525,90.7,236,314,75.2,1,0.8,+0.2,12,92,11,3,79,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,11,13,84.6,235,83,1,1,100.0,7,9,77.8,3,3,100.0,0,0.1,-0.1,2,1,2,0,3,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,1743,1960,88.9,39368,10458,14,24,58.3,1125,1214,92.7,604,722,83.7,0,0.2,-0.2,5,130,11,2,95,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,96,124,77.4,1724,454,0,3,0.0,80,96,83.3,16,25,64.0,1,0.4,+0.6,6,6,1,0,8,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,405,510,79.4,6653,1624,14,37,37.8,330,385,85.7,61,88,69.3,1,1.0,0.0,10,33,7,2,42,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,102,155,65.8,1520,341,6,19,31.6,83,115,72.2,13,21,61.9,0,1.6,-1.6,8,8,6,1,10,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,271,326,83.1,4329,850,6,22,27.3,228,250,91.2,37,54,68.5,3,1.6,+1.4,15,12,13,4,28,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,1217,1538,79.1,23156,6405,32,85,37.6,917,1046,87.7,268,407,65.8,6,6.9,-0.9,92,95,79,6,223,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,416,488,85.2,6406,1164,14,26,53.8,355,396,89.6,47,66,71.2,1,0.7,+0.3,13,21,9,1,28,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,181,227,79.7,3152,765,5,16,31.3,141,168,83.9,35,43,81.4,0,0.3,-0.3,5,10,5,1,23,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,762,1028,74.1,14861,4611,10,45,22.2,582,669,87.0,170,314,54.1,4,5.1,-1.1,62,54,37,10,152,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,591,1053,56.1,21593,15308,5,6,83.3,241,241,100.0,345,806,42.8,0,0.0,0.0,0,14,0,0,0,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1018,1144,89.0,20108,5472,15,41,36.6,746,802,93.0,257,301,85.4,1,1.3,-0.3,13,133,19,1,131,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,687,1026,67.0,13271,5550,7,47,14.9,521,665,78.3,159,314,50.6,2,1.4,+0.6,14,67,24,15,147,Matches
182,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,1779,1956,91.0,33405,6508,22,46,47.8,1355,1455,93.1,402,455,88.4,1,2.8,-1.8,34,169,33,1,155,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,111,256,43.4,4114,2955,0,0,,47,47,100.0,64,209,30.6,0,0.0,0.0,0,6,1,0,0,Matches
184,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,25.2,522,766,68.1,7368,1479,26,59,44.1,446,622,71.7,50,85,58.8,1,1.9,-0.9,24,48,14,2,47,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,538,639,84.2,11532,3184,7,12,58.3,360,390,92.3,171,237,72.2,0,0.0,0.0,1,20,0,0,16,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,591,789,74.9,12375,4892,8,24,33.3,421,498,84.5,162,267,60.7,0,0.2,-0.2,1,42,1,0,40,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,630,833,75.6,10884,2504,9,46,19.6,507,619,81.9,114,168,67.9,2,1.5,+0.5,15,40,13,7,55,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,350,614,57.0,12857,9485,2,2,100.0,159,159,100.0,189,453,41.7,0,0.0,0.0,0,8,0,0,1,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,424,1035,41.0,21129,17078,1,1,100.0,107,109,98.2,316,925,34.2,0,0.0,0.0,1,49,1,0,0,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,1582,1879,84.2,32654,7681,24,60,40.0,1119,1219,91.8,439,600,73.2,5,3.0,+2.0,22,181,32,6,181,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,420,575,73.0,6881,1712,9,45,20.0,344,406,84.7,67,124,54.0,2,0.8,+1.2,12,25,10,2,48,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,44,103,42.7,2365,2024,0,0,,8,9,88.9,36,94,38.3,0,0.0,0.0,0,3,0,0,0,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,19,22,86.4,312,50,3,4,75.0,14,16,87.5,2,2,100.0,0,0.0,0.0,0,2,1,0,3,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,248,335,74.0,3456,637,12,30,40.0,222,267,83.1,14,38,36.8,2,0.9,+1.1,18,7,10,3,19,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,705,882,79.9,11216,2546,17,54,31.5,582,656,88.7,106,172,61.6,10,6.8,+3.2,43,45,26,3,84,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,5,8,62.5,48,16,0,0,,5,8,62.5,0,0,,0,0.0,0.0,0,1,0,0,0,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,292,338,86.4,6532,1724,2,5,40.0,198,210,94.3,92,123,74.8,0,0.0,0.0,0,13,2,0,14,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,431,608,70.9,8294,3850,11,20,55.0,316,374,84.5,104,214,48.6,0,0.7,-0.7,10,43,8,5,92,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,855,991,86.3,20925,6091,5,18,27.8,484,528,91.7,366,445,82.2,3,0.4,+2.6,2,47,4,0,57,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,11,14,78.6,137,49,0,0,,11,13,84.6,0,1,0.0,0,0.0,0.0,0,0,0,0,0,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,542,721,75.2,10349,3231,17,37,45.9,396,460,86.1,129,224,57.6,5,5.2,-0.2,37,50,14,5,84,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,384,476,80.7,7208,1491,7,23,30.4,297,340,87.4,80,113,70.8,5,2.8,+2.2,21,18,30,10,56,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,676,920,73.5,10570,3701,19,57,33.3,573,683,83.9,84,180,46.7,1,1.3,-0.3,22,64,23,4,95,Matches
204,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,1413,1810,78.1,26872,6912,22,59,37.3,1074,1277,84.1,317,474,66.9,1,2.0,-1.0,30,144,33,5,145,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,17,22,77.3,329,144,0,2,0.0,14,17,82.4,3,3,100.0,0,0.0,0.0,0,2,1,0,5,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,37,48,77.1,495,81,4,9,44.4,28,33,84.8,5,6,83.3,0,0.0,0.0,1,5,0,0,4,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,21,23,91.3,279,22,0,0,,19,21,90.5,2,2,100.0,0,0.2,-0.2,2,1,1,0,1,Matches
