,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1558,1175,383,62,0,222,35,88,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1684,1356,328,27,1,291,10,72,0,0,0,0,1018,391,275,219,1102,45,301,2,1316,0,33,22,70,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,412,360,52,0,0,149,5,10,0,0,0,0,259,81,72,31,306,17,0,17,288,1,6,8,26,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,265,257,8,0,3,73,8,14,0,0,0,0,160,67,38,18,211,11,0,5,184,1,9,8,20,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,314,219,95,27,0,40,12,0,0,0,0,0,150,24,140,31,217,1,0,49,227,0,9,0,1,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,367,349,18,1,5,90,1,10,0,0,0,0,273,71,23,41,303,11,1,9,284,0,4,11,15,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,18,17,1,0,0,5,0,0,0,0,0,0,6,8,4,2,12,3,0,0,15,0,0,0,0,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,1183,1130,53,33,1,150,15,4,0,0,0,0,852,134,197,840,209,92,20,1,1042,2,11,5,13,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,508,473,35,0,1,81,25,68,10,2,6,0,292,82,134,51,411,17,25,3,344,0,14,9,30,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,1895,1814,81,72,6,205,65,8,0,0,0,0,1238,190,467,340,1402,101,9,7,1567,10,39,9,12,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,3147,2495,652,86,8,415,226,377,162,43,74,8,1472,567,1108,313,2330,83,404,7,2254,11,84,35,111,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,925,701,224,54,1,133,28,0,0,0,0,0,590,85,250,65,688,2,0,132,794,2,19,3,0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,805,747,58,9,6,195,8,7,4,0,0,1,587,139,79,33,702,30,17,8,621,6,8,16,37,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,894,881,13,2,2,207,22,42,1,0,1,0,635,145,114,777,67,29,8,8,682,3,16,31,40,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,1108,941,167,8,0,228,21,67,1,1,0,0,674,231,203,788,93,44,158,0,916,1,15,11,30,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,664,609,55,5,1,135,9,9,0,0,0,0,471,133,60,30,540,33,50,1,564,1,5,15,16,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,361,354,7,4,0,68,5,1,0,0,0,0,285,35,41,23,314,17,2,1,310,1,4,7,5,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,934,903,31,9,3,188,23,36,5,3,1,0,635,174,125,124,750,31,12,13,725,3,14,28,40,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,12,11,1,0,0,5,0,0,1,0,0,0,8,2,2,2,6,2,0,1,8,0,0,1,1,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,426,377,49,3,0,70,7,42,0,0,0,0,267,78,81,342,15,18,46,1,335,1,9,5,14,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,7,7,0,0,0,1,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,507,467,40,1,5,169,14,49,0,0,0,0,249,133,125,49,335,30,25,15,325,4,10,6,36,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,612,593,19,0,2,157,8,23,0,0,0,0,390,136,86,131,432,22,15,4,466,2,10,16,32,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,1086,832,254,54,0,119,22,0,0,0,0,0,702,62,322,157,772,2,1,145,877,5,14,9,2,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,208,198,10,2,1,45,8,17,6,2,2,0,147,20,41,168,26,9,1,0,163,2,5,4,6,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,888,856,32,0,1,243,10,86,2,0,0,0,558,173,157,99,735,23,2,3,612,2,23,23,50,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1654,1380,274,16,1,274,21,134,0,0,0,0,915,418,321,171,1092,94,258,3,1262,3,27,31,70,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,838,801,37,2,2,247,10,25,1,0,0,0,588,154,96,50,684,31,12,16,686,3,9,18,32,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2838,2436,402,25,1,401,44,118,0,0,0,0,1720,515,603,280,2009,109,377,8,2267,8,40,39,96,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,72,72,0,0,0,7,1,0,0,0,0,0,47,14,11,10,52,5,0,1,64,0,0,0,1,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,209,158,51,5,0,18,8,27,11,4,2,5,115,40,54,141,20,9,35,0,168,2,0,2,9,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,487,469,18,13,1,81,21,1,0,0,0,0,288,67,132,69,357,31,5,4,361,3,8,8,13,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1552,1249,303,7,1,271,25,128,1,1,0,0,765,371,416,51,1108,69,295,7,1173,4,32,17,87,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,897,662,235,16,2,93,23,30,0,0,0,0,335,182,380,71,529,60,219,1,599,6,30,6,29,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,616,606,10,5,2,158,27,12,3,1,1,0,476,77,63,82,513,10,2,2,540,2,6,10,8,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,253,244,9,0,1,97,1,5,0,0,0,0,123,59,71,46,142,22,1,8,155,1,10,9,13,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,729,725,4,2,3,181,8,42,0,0,0,0,504,123,102,108,569,22,2,9,559,4,10,21,34,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,1461,1290,171,20,0,247,35,50,0,0,0,0,773,252,436,117,1003,139,151,5,1084,5,48,13,28,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,5,5,0,0,0,2,0,0,0,0,0,0,2,1,2,0,4,0,0,0,4,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,76,70,6,0,0,16,2,0,0,0,0,0,53,14,9,23,48,0,0,1,61,0,0,3,3,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1434,1371,63,28,1,177,25,1,0,0,0,0,906,153,375,224,975,140,34,4,1143,3,26,12,16,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,686,557,129,16,2,98,5,26,0,0,0,0,420,159,107,50,488,26,113,0,558,2,8,11,29,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,239,224,15,3,0,41,8,4,0,0,0,0,134,26,79,14,180,17,12,2,185,1,5,3,1,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,221,200,21,1,0,31,5,2,0,0,0,0,128,26,67,21,162,11,20,1,174,0,6,2,4,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,404,392,12,12,0,63,19,0,0,0,0,0,292,57,55,308,60,18,0,3,347,1,9,8,7,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,326,313,13,0,2,145,5,5,0,0,0,0,143,85,98,21,165,37,0,9,190,0,5,11,14,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,192,185,7,0,0,40,16,35,6,6,0,0,99,33,60,151,28,9,1,0,132,0,3,1,5,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,386,377,9,6,0,106,9,23,0,0,0,0,261,70,55,36,302,19,3,2,298,0,12,4,14,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,259,247,12,4,0,68,2,10,3,2,0,0,178,50,31,11,224,11,2,5,225,0,5,2,3,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,573,559,14,2,4,116,12,36,6,5,0,0,419,77,77,147,409,11,1,4,426,0,14,15,31,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,383,332,51,1,0,81,1,17,0,0,0,0,199,92,92,254,32,25,50,2,286,0,12,9,14,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1656,1239,417,48,0,257,45,117,25,7,10,7,833,336,487,1083,88,93,344,6,1244,6,29,29,61,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,106,104,2,2,0,24,5,1,0,0,0,0,69,20,17,14,80,8,0,0,86,0,0,3,5,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1179,1120,59,20,4,283,20,15,0,0,0,0,700,218,261,828,130,100,39,5,878,5,41,19,29,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,622,610,12,10,0,105,24,6,0,0,0,0,433,103,86,49,537,17,2,6,525,2,10,10,10,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22.0,959,941,18,14,4,148,14,2,0,0,0,0,658,103,198,103,755,53,4,3,793,3,14,9,12,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,35,32,3,1,0,3,1,5,0,0,0,0,23,2,10,32,1,0,2,0,24,0,1,1,3,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,325,317,8,1,1,96,8,27,1,0,0,0,222,54,49,62,236,12,6,1,247,0,9,6,14,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,276,247,29,4,1,47,22,59,25,20,1,0,157,38,81,204,59,9,0,1,188,0,8,2,16,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,167,158,9,3,0,49,4,12,4,4,0,0,87,29,51,119,21,14,2,0,108,1,5,6,4,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,212,206,6,4,0,9,5,0,0,0,0,0,173,12,27,148,55,7,0,0,187,0,8,0,0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,132,96,36,8,0,20,5,0,0,0,0,0,69,15,48,11,105,0,0,13,101,0,4,2,0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,179,157,22,3,2,22,7,24,12,6,4,0,93,49,37,132,44,2,1,0,121,1,5,2,8,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,340,332,8,4,0,47,6,2,0,0,0,0,206,57,77,41,246,31,3,2,276,3,7,3,3,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1534,1343,191,66,16,378,87,166,108,46,50,10,1040,201,293,199,1272,29,17,2,1144,8,27,37,52,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,1841,1565,276,12,1,344,21,52,1,0,0,1,999,367,475,1211,162,111,263,2,1389,4,43,22,62,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,763,624,139,11,0,145,2,7,0,0,0,0,406,199,158,107,450,54,128,5,625,2,17,7,16,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,165,134,31,3,0,15,3,0,0,0,0,0,78,6,81,30,112,0,0,15,121,0,2,0,0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,953,914,39,36,0,157,26,0,0,0,0,0,659,115,179,93,747,63,3,7,826,0,20,3,9,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,594,568,26,3,3,215,7,19,0,0,0,0,271,179,144,60,323,60,1,23,393,3,9,7,25,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,3,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,1147,1044,103,6,4,141,27,47,1,0,1,0,825,189,133,141,869,28,96,3,1008,4,14,16,21,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,1106,1069,37,13,1,259,29,25,4,0,1,0,818,181,107,93,950,30,15,9,884,6,35,23,38,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,1430,1348,82,38,4,185,76,23,7,4,3,0,838,246,346,212,1069,104,3,9,1158,3,17,15,20,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,207,202,5,0,1,102,7,5,0,0,0,0,78,63,66,81,45,13,0,11,134,1,7,2,4,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,1445,1132,313,8,0,267,18,52,2,1,0,0,821,403,221,336,724,52,303,5,1177,3,22,23,47,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,864,841,23,18,0,138,32,1,0,0,0,0,521,120,223,196,549,75,5,3,719,2,14,7,5,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,1301,1199,102,35,4,200,54,72,63,12,19,9,949,149,203,73,1198,16,4,3,1096,3,17,19,36,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,358,335,23,7,2,89,15,21,13,2,2,5,211,76,71,61,259,22,2,0,263,1,7,6,18,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,865,773,92,8,0,159,15,34,0,0,0,0,594,144,127,54,684,27,83,1,702,1,10,9,31,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,1956,1653,303,32,3,326,40,104,7,0,3,0,1165,381,410,1414,183,53,264,4,1528,3,42,32,63,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,14,14,0,0,0,2,0,0,0,0,0,0,13,1,0,14,0,0,0,0,9,0,1,2,1,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,494,481,13,12,0,65,5,4,0,0,0,0,389,45,60,35,418,34,0,1,428,0,4,8,9,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1258,1224,34,29,1,170,33,0,0,0,0,0,1047,83,128,80,1108,31,5,3,1166,3,16,7,6,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,322,297,25,10,0,58,7,0,0,0,0,0,182,43,97,227,42,24,15,1,253,0,9,2,4,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,7,7,0,0,0,2,0,0,0,0,0,0,2,3,2,2,2,1,0,0,5,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,470,442,28,14,1,72,14,28,6,1,2,2,280,79,111,54,377,27,5,2,366,3,9,4,10,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,1782,1748,34,33,3,218,99,0,0,0,0,0,1059,208,515,68,1584,106,1,4,1531,3,25,15,15,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,1058,835,223,13,1,170,15,42,0,0,0,0,539,238,281,118,671,44,210,1,813,3,18,21,46,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,163,148,15,0,1,50,0,9,0,0,0,0,90,52,21,27,107,13,1,6,126,0,1,4,10,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,719,698,21,12,5,131,18,9,1,0,0,0,434,161,124,41,633,24,7,1,560,5,11,14,24,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,1222,1163,59,41,2,177,20,2,0,0,0,0,754,155,313,43,1016,95,18,1,993,4,22,7,12,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,933,926,7,3,3,243,26,6,0,0,0,0,589,148,196,101,723,59,4,3,743,6,13,9,16,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,1681,1292,389,45,3,242,38,127,19,11,5,0,796,359,526,1201,81,41,325,1,1241,6,41,19,77,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,56,49,7,0,0,21,2,6,0,0,0,0,33,11,12,9,40,1,0,3,38,0,4,1,0,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,64,50,14,0,0,8,0,3,1,0,0,0,34,20,10,7,40,2,13,1,51,0,1,2,1,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,49,39,10,4,0,7,4,5,0,0,0,0,25,9,15,42,1,0,6,0,35,2,4,0,0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,555,526,29,28,0,70,14,2,0,0,0,0,352,87,116,65,416,51,1,3,461,0,5,7,9,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,159,125,34,1,0,32,4,4,0,0,0,0,93,24,42,10,105,6,33,0,115,0,4,5,3,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,956,786,170,16,1,125,12,30,0,0,0,0,545,199,212,653,80,41,154,2,730,2,14,25,32,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,870,840,30,17,6,161,26,8,0,0,0,0,557,152,161,103,673,59,5,5,681,3,17,12,26,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,141,135,6,0,0,56,0,1,0,0,0,0,101,22,18,98,20,6,1,2,107,0,3,1,5,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,908,878,30,13,1,149,52,4,0,0,0,0,532,144,232,53,719,64,17,9,729,5,24,8,13,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,2244,1975,269,52,32,365,135,304,177,62,51,17,1475,310,459,262,1888,41,36,3,1674,13,38,61,96,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,707,685,22,0,4,257,6,10,1,0,0,0,245,257,205,26,397,122,1,13,405,6,24,17,30,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,778,763,15,11,2,122,28,8,0,0,0,0,550,113,115,483,250,28,2,3,676,2,13,6,7,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,1284,1267,17,14,1,191,41,8,0,0,0,0,908,178,198,209,907,103,2,2,1087,4,8,20,25,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,823,731,92,30,3,178,25,91,33,14,11,4,544,151,128,66,732,9,8,6,603,4,9,20,48,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,876,857,19,18,0,140,28,3,0,0,0,0,597,100,179,118,653,55,1,2,713,4,13,16,7,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,1946,1407,539,64,3,294,72,270,108,53,39,8,809,438,699,1281,104,112,367,7,1353,6,33,35,90,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,3085,3000,85,74,8,324,131,0,0,0,0,0,2330,265,490,345,2476,152,11,6,2791,1,43,13,10,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,948,906,42,41,0,135,17,1,0,0,0,0,620,102,226,130,686,88,1,2,755,2,29,12,16,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,264,254,10,0,3,56,5,23,0,0,0,0,169,62,33,60,176,11,9,5,191,1,7,8,8,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,1793,1454,339,5,1,293,23,44,0,0,0,0,887,479,427,75,1180,116,334,12,1369,3,27,35,59,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,1658,1645,13,8,2,348,24,26,1,0,0,0,1171,297,190,260,1283,68,0,6,1302,4,19,29,64,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,19,18,1,1,0,1,0,0,0,0,0,0,19,0,0,4,15,0,0,0,19,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,20,19,1,1,0,3,1,0,0,0,0,0,9,2,9,3,14,3,0,0,11,0,2,0,1,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,167,163,4,4,0,32,7,1,0,0,0,0,96,44,27,35,126,3,0,0,136,0,5,2,6,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,164,152,12,0,0,49,5,3,2,2,0,0,102,44,18,19,121,7,1,9,125,0,4,4,3,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,1093,607,486,148,0,122,34,0,0,0,0,0,267,38,788,48,849,1,1,122,595,7,34,6,2,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,382,345,37,10,0,73,17,43,24,8,15,0,226,82,74,41,309,13,1,11,298,0,7,7,13,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,613,577,36,32,0,98,35,1,0,0,0,0,391,86,136,39,482,48,4,8,515,1,16,3,7,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,502,450,52,11,0,104,11,15,0,0,0,0,262,71,169,382,30,29,41,3,358,2,12,6,16,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,2192,2094,98,66,1,262,116,1,0,0,0,0,1529,264,399,137,1858,106,32,19,1913,7,51,22,9,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,1063,878,185,45,1,117,38,0,0,0,0,0,790,59,214,737,143,3,1,161,927,3,17,4,1,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1212,1180,32,28,0,190,49,2,0,0,0,0,768,155,289,142,894,114,4,4,1017,2,30,2,6,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,15,11,4,0,0,0,1,3,3,0,2,0,8,3,4,13,1,0,1,0,12,0,0,0,0,Matches
