,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes,
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,633,533,100,6,0,102,12,58,0,0,0,0,304,136,193,7,482,30,94,1,484,3,9,18,14,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,605,586,19,17,0,91,29,2,0,0,0,0,399,68,138,53,491,31,2,1,503,2,9,5,4,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,743,659,84,26,4,119,35,72,46,18,16,5,468,111,164,173,532,23,10,2,549,4,9,18,19,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,2372,2285,87,72,2,306,60,8,0,0,0,0,1764,219,389,590,1585,117,15,5,2088,2,44,12,13,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,672,409,263,69,0,61,21,0,0,0,0,0,128,40,504,21,506,0,0,91,378,4,19,1,3,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,1528,1505,23,16,5,242,38,9,0,0,0,0,1051,211,266,105,1318,68,4,2,1334,2,18,9,15,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,10,7,3,0,0,0,0,0,0,0,0,0,6,1,3,2,6,0,0,2,7,0,1,0,0,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,1289,1008,281,16,0,164,23,68,2,1,1,0,680,300,309,145,807,55,263,4,995,1,21,31,37,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,853,751,102,27,4,140,53,75,55,15,24,7,528,138,187,64,768,13,5,2,608,3,12,23,39,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,51,44,7,1,0,11,0,6,0,0,0,0,30,14,7,4,39,2,6,0,40,0,1,0,3,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,1184,1052,132,41,1,167,51,27,0,0,0,0,717,146,321,69,937,56,90,1,907,4,39,19,24,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,2190,2134,56,44,2,249,76,5,0,0,0,0,1709,193,288,243,1800,83,12,10,1985,6,23,12,22,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,1171,1141,30,3,8,306,8,8,0,0,0,0,874,205,92,152,927,55,11,13,931,3,7,51,55,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,1164,1030,134,31,3,224,63,147,77,50,10,5,680,215,269,987,96,57,7,8,854,8,23,22,48,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,508,494,14,4,4,74,17,28,6,2,1,0,398,51,59,450,37,11,4,2,431,0,6,2,15,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,897,860,37,10,6,222,31,62,19,4,9,3,594,167,136,106,753,23,2,5,680,0,13,17,55,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,1203,736,467,174,0,96,56,0,0,0,0,0,174,57,972,794,162,1,1,122,535,13,36,7,3,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,73,66,7,0,0,4,1,2,0,0,0,0,51,13,9,15,47,4,7,0,62,0,2,1,1,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,13,12,1,0,0,5,0,1,0,0,0,0,7,4,2,2,10,0,1,0,10,0,1,0,1,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,60,52,8,1,0,12,3,0,0,0,0,0,44,8,8,6,46,0,7,0,53,1,1,1,0,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,544,504,40,11,1,123,18,16,0,0,0,0,272,126,146,48,403,34,29,2,425,0,10,9,6,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,950,818,132,35,9,205,29,173,64,25,20,8,516,180,254,195,697,27,19,5,648,4,18,16,38,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,1714,1608,106,53,3,344,83,63,42,15,16,0,1231,232,251,1200,466,29,8,6,1463,2,18,20,37,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,1096,884,212,6,0,170,6,58,0,0,0,0,571,175,350,89,716,68,206,2,795,3,15,13,47,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,150,143,7,0,0,37,2,15,7,4,1,0,92,31,27,124,18,4,0,0,110,0,7,2,11,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,630,544,86,12,1,87,17,16,0,0,0,0,389,122,119,457,60,25,74,1,510,1,12,11,12,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,705,698,7,6,0,51,17,1,0,0,0,0,641,29,35,63,625,11,1,1,672,1,3,2,4,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,15,15,0,0,0,6,1,0,0,0,0,0,15,0,0,2,12,0,0,1,15,0,0,0,0,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,150,135,15,1,1,47,4,3,0,0,0,0,83,34,33,20,95,14,2,2,110,1,5,2,4,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,516,350,166,26,1,63,10,0,0,0,0,0,223,15,278,21,393,0,0,58,319,2,14,0,2,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,67,64,3,3,0,9,3,0,0,0,0,0,46,7,14,7,55,4,0,0,50,0,6,0,5,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,934,590,344,78,0,108,23,0,0,0,0,0,545,80,309,55,695,0,1,148,726,1,18,3,5,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,615,574,41,3,0,154,30,106,17,7,5,0,331,134,150,95,450,29,16,4,402,4,28,9,47,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,82,80,2,1,1,17,0,3,0,0,0,0,49,17,16,3,68,5,1,2,66,1,2,1,1,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,169,168,1,1,0,37,7,1,0,0,0,0,119,30,20,10,144,12,0,0,151,0,1,2,1,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,306,281,25,0,2,93,1,2,0,0,0,0,135,115,56,182,43,37,0,16,207,0,4,8,12,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,1606,1559,47,35,1,256,76,3,0,0,0,0,1244,162,200,139,1369,53,12,2,1413,1,35,18,16,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,859,833,26,16,1,121,65,12,1,0,1,0,561,135,163,226,589,28,2,3,719,2,24,11,18,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,13,13,0,0,1,0,1,0,0,0,0,0,10,0,3,0,13,0,0,0,11,0,2,0,0,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,1960,1910,50,35,1,211,63,9,0,0,0,0,1469,187,304,128,1669,89,15,1,1743,2,22,5,11,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,124,114,10,6,1,16,2,8,0,0,0,0,99,12,13,8,112,3,0,1,96,1,2,1,4,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,510,500,10,4,0,124,6,3,0,0,0,0,325,111,74,50,415,26,1,2,405,1,12,10,21,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,155,147,8,0,2,55,2,5,0,0,0,0,96,41,18,33,101,8,0,5,102,0,4,6,16,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,326,312,14,4,3,70,11,31,6,3,1,1,244,48,34,27,286,2,4,5,271,2,4,3,14,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,1538,1335,203,74,5,345,83,140,78,48,6,9,1071,214,253,103,1363,20,30,7,1217,5,24,27,50,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,488,485,3,0,0,101,12,10,2,0,1,0,391,51,46,382,93,9,0,0,416,1,6,7,11,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,227,221,6,1,0,63,5,9,3,2,1,0,160,41,26,30,184,10,2,0,181,1,4,5,14,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,1028,888,140,48,3,195,66,146,80,22,31,19,605,152,271,179,802,26,3,4,762,9,16,16,37,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,1053,698,355,81,0,114,28,0,0,0,0,0,306,68,679,78,732,1,1,164,591,6,49,0,0,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1144,1108,36,26,3,224,29,6,1,0,0,0,929,112,103,62,1032,34,8,5,1018,3,6,18,32,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,1026,807,219,13,1,139,26,91,1,0,0,0,439,225,362,94,629,68,205,7,687,8,35,18,51,Matches
182,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,1956,1895,61,28,11,348,44,30,23,10,4,2,1515,251,190,540,1353,42,5,3,1779,3,13,24,24,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,256,144,112,33,0,19,9,0,0,0,0,0,58,11,187,8,202,0,0,24,111,0,10,2,0,Matches
184,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,25.2,766,735,31,0,2,322,4,8,0,0,0,0,350,199,217,82,439,58,0,23,522,3,8,21,28,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,639,606,33,33,0,97,21,0,0,0,0,0,464,64,111,66,527,32,0,1,538,2,14,4,6,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,789,743,46,25,0,141,26,0,0,0,0,0,418,125,246,569,77,61,21,1,591,4,20,12,15,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,833,784,49,15,3,199,12,38,0,0,0,0,548,116,169,104,622,53,12,5,630,2,15,14,36,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,614,342,272,76,0,62,17,0,0,0,0,0,210,22,382,28,461,1,0,95,350,2,22,1,0,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,1035,658,377,119,0,75,26,0,0,0,0,0,131,58,846,61,739,0,0,100,424,3,57,3,6,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,1879,1834,45,16,14,275,73,58,1,0,0,0,1224,270,385,209,1565,68,13,4,1582,4,20,15,40,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,575,548,27,3,0,135,12,31,6,6,0,0,370,79,126,60,461,29,7,6,420,5,15,11,40,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,103,51,52,13,0,4,2,0,0,0,0,0,13,1,89,9,83,0,0,6,44,1,4,0,0,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,22,18,4,0,0,3,0,1,0,0,0,0,17,3,2,6,14,1,0,1,19,0,0,0,1,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,335,326,9,0,1,86,2,24,1,0,0,0,252,52,31,59,253,11,7,2,248,0,1,6,18,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,882,802,80,12,6,201,33,77,47,20,14,7,629,143,110,118,714,23,15,4,705,1,10,15,43,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,8,8,0,0,0,4,0,0,0,0,0,0,4,1,3,0,5,0,0,1,5,0,0,0,0,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,338,329,9,8,1,39,12,0,0,0,0,0,269,20,49,41,275,14,1,0,292,2,10,3,2,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,608,422,186,17,0,85,31,70,36,12,17,5,252,133,223,373,48,32,133,0,431,1,11,10,11,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,991,954,37,25,1,127,44,2,0,0,0,0,712,99,180,149,758,53,11,0,855,1,23,8,11,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,14,13,1,0,0,4,0,2,0,0,0,0,9,4,1,0,13,0,1,0,11,0,0,0,1,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,721,564,157,72,2,91,35,112,55,22,19,0,455,101,165,626,55,18,11,2,542,2,15,12,23,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,476,449,27,2,1,139,30,63,18,5,7,0,302,77,97,57,392,16,7,1,384,2,12,7,15,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,920,856,64,26,2,169,25,69,36,20,5,7,542,188,190,703,147,42,2,6,676,6,17,24,30,Matches
204,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,1810,1745,65,41,2,374,51,28,1,0,0,0,1114,310,386,308,1298,132,19,16,1413,3,60,18,35,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,22,18,4,1,0,4,1,3,1,0,1,0,13,3,6,5,13,2,2,0,17,0,0,0,2,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,48,43,5,0,0,16,0,0,0,0,0,0,28,17,3,6,34,3,1,2,37,0,1,1,2,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,23,23,0,0,0,4,0,0,0,0,0,0,18,3,2,3,19,1,0,0,21,0,0,0,0,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,268,262,6,0,7,84,4,2,0,0,0,0,209,40,19,231,23,9,0,3,217,0,3,6,16,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,678,663,15,0,3,171,17,29,0,0,0,0,351,152,175,87,508,52,1,7,437,7,19,15,34,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,614,603,11,3,5,112,26,48,1,0,0,0,414,104,96,66,528,9,3,3,462,3,12,14,34,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,74,71,3,0,0,11,3,1,0,0,0,0,47,6,21,11,55,2,3,0,59,0,4,0,1,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,140,136,4,0,0,21,2,24,1,0,0,0,87,31,22,16,116,4,3,1,84,0,5,4,10,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,803,789,14,4,3,183,21,96,3,1,1,0,588,118,97,99,681,14,5,1,586,3,18,15,63,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,6,6,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,0,0,0,6,0,0,0,0,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,1268,1077,191,26,3,202,29,110,10,4,6,0,802,227,239,104,951,31,155,4,1055,3,24,10,37,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,341,287,54,1,0,64,9,23,0,0,0,0,173,90,78,43,237,8,53,0,257,0,7,4,17,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,608,589,19,0,2,145,8,6,1,0,0,0,467,92,49,71,485,17,4,11,532,1,6,13,18,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,1009,970,39,3,7,300,37,23,1,1,0,0,514,297,198,61,798,46,12,45,732,3,20,27,50,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,801,761,40,1,4,316,11,5,0,0,0,0,488,174,139,126,486,62,5,16,640,4,15,11,21,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,161,132,29,0,0,16,8,11,0,0,0,0,72,34,55,19,102,8,29,0,111,1,5,5,8,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,128,128,0,0,0,23,3,0,0,0,0,0,103,13,12,16,105,5,0,0,111,0,1,2,2,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,89,86,3,2,0,22,3,1,0,0,0,0,67,14,8,7,73,3,1,2,79,0,2,1,1,Matches
223,Bruno Jordão\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0,0,0,2,0,0,0,2,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,2221,2163,58,53,5,425,67,9,0,0,0,0,1542,330,349,127,2028,46,5,5,1955,6,15,21,19,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,98,93,5,2,3,24,1,2,1,1,0,0,63,14,21,83,10,3,2,0,73,1,1,2,2,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,861,822,39,0,0,206,22,33,1,0,0,0,584,165,112,261,548,22,5,7,681,4,14,15,47,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,802,688,114,12,1,107,10,38,0,0,0,0,499,169,134,121,530,38,102,2,651,0,16,8,32,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,637,624,13,11,0,98,25,0,0,0,0,0,341,100,196,47,511,51,2,2,484,1,13,8,7,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,592,561,31,5,6,184,17,21,0,0,0,0,315,164,113,63,434,32,6,9,394,2,14,19,33,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,1140,1131,9,7,0,241,18,26,0,0,0,0,817,173,150,149,920,48,1,7,975,5,13,18,34,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,142,137,5,1,2,36,2,12,0,0,0,0,82,39,21,22,102,7,1,7,104,0,2,5,11,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,1379,1336,43,39,2,194,37,0,0,0,0,0,980,161,238,215,1003,86,4,5,1167,5,35,10,14,Matches
233,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,684,676,8,2,5,114,9,7,2,0,0,0,514,112,58,86,567,18,3,2,608,1,8,10,15,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,231,194,37,6,0,29,0,6,0,0,0,0,129,37,65,161,14,19,31,0,168,1,6,2,7,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,669,541,128,13,0,124,9,20,0,0,0,0,337,143,189,65,448,27,115,1,493,3,16,20,19,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,90,90,0,0,0,14,1,0,0,0,0,0,67,9,14,76,6,4,0,1,72,2,1,1,1,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,498,485,13,1,4,145,5,23,1,0,0,0,324,103,71,47,396,17,2,6,362,2,9,14,31,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,390,376,14,11,0,35,10,0,0,0,0,0,288,39,63,115,232,27,3,3,331,1,5,5,4,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,30,24,6,0,0,7,0,0,0,0,0,0,21,4,5,2,24,1,0,0,19,0,1,1,1,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,1031,917,114,3,0,157,10,29,0,0,0,0,703,154,174,739,104,59,111,3,869,4,17,14,25,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,22.7,853,748,105,18,0,118,18,13,0,0,0,0,498,138,217,83,600,44,87,5,674,0,20,10,15,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,860,844,16,10,0,204,6,15,0,0,0,0,553,151,156,72,639,73,5,14,653,1,19,15,31,Matches
243,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,1846,1798,48,40,5,337,81,8,0,0,0,0,1441,229,176,80,1723,25,8,4,1665,3,15,24,21,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,433,358,75,7,0,51,8,20,0,0,0,0,243,73,117,21,316,20,68,2,316,3,5,11,21,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,1550,1111,439,105,0,225,38,0,0,0,0,0,697,127,726,1001,301,1,1,178,1046,3,46,5,4,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,499,458,41,1,4,125,9,15,0,0,0,0,337,98,64,73,405,9,0,4,387,0,14,10,24,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,270,268,2,1,0,48,4,3,0,0,0,0,204,38,28,77,170,13,1,3,229,2,0,4,9,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,596,541,55,9,2,143,24,49,40,28,7,1,431,77,88,518,57,13,1,7,469,2,7,16,23,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,235,188,47,4,0,26,1,22,0,0,0,0,125,51,59,52,127,9,43,2,173,0,8,3,15,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,14,9,5,0,1,0,0,2,0,0,0,0,5,4,5,4,5,0,5,0,12,0,0,0,2,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,81,80,1,0,0,15,6,1,0,0,0,0,46,15,20,7,62,10,0,1,60,0,3,1,3,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,798,737,61,18,3,154,29,42,32,17,11,1,583,118,97,87,680,17,2,9,674,3,12,15,13,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,1114,1093,21,14,0,125,35,0,0,0,0,0,913,102,99,838,202,42,7,6,1041,0,5,4,10,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,811,796,15,15,1,144,22,0,0,0,0,0,539,89,183,117,579,76,0,2,669,4,10,7,9,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,194,165,29,4,0,30,5,13,11,1,4,5,113,35,46,22,148,6,14,1,158,1,2,5,3,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,553,527,26,20,2,96,15,5,1,1,0,0,434,60,59,88,449,5,4,3,472,5,7,7,13,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,187,169,18,6,0,41,8,2,0,0,0,0,106,23,58,40,120,7,12,0,136,0,7,3,2,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,131,129,2,0,0,32,5,8,1,1,0,0,91,21,19,11,112,4,1,0,92,0,3,2,10,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,990,680,310,59,0,127,22,0,0,0,0,0,612,52,326,153,631,4,0,174,742,5,22,3,1,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,1377,1348,29,24,0,281,39,6,0,0,0,0,816,247,314,144,1079,110,5,2,1092,4,34,21,24,Matches
