,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,3,26,5,19.2,0.93,0.18,0.08,0.40,3,1,1,2.3,1.6,0.06,+0.7,+0.4,Matches
2,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,36.0,0,14,4,28.6,0.39,0.11,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
3,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,21,1997,24.6,15,88,35,39.8,3.58,1.42,0.17,0.43,0,0,0,14.5,14.5,0.17,+0.5,+0.5,Matches
4,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,12.3,4,37,9,24.3,3.00,0.73,0.11,0.44,0,0,0,4.2,4.2,0.11,-0.2,-0.2,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,9.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,31,1988,16.1,16,73,25,34.2,4.52,1.55,0.19,0.56,0,2,3,13.8,11.5,0.16,+2.2,+2.5,Matches
7,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,1.5,0,3,0,0.0,1.94,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
8,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,24,1995,27.8,2,24,7,29.2,0.86,0.25,0.08,0.29,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Matches
9,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,29,1989,9.6,0,10,2,20.0,1.04,0.21,0.00,0.00,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
10,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,2,16,5,31.3,0.49,0.15,0.13,0.40,0,0,0,1.1,1.1,0.07,+0.9,+0.9,Matches
11,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,12,0,0,2.9,2.9,0.07,+1.1,+1.1,Matches
12,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,28.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,23,1996,20.5,8,39,18,46.2,1.90,0.88,0.18,0.39,0,1,1,6.9,6.1,0.16,+1.1,+0.9,Matches
14,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,25,1994,33.6,4,55,17,30.9,1.64,0.51,0.07,0.24,0,0,0,6.4,6.4,0.12,-2.4,-2.4,Matches
15,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,28,1990,15.9,4,30,8,26.7,1.89,0.50,0.13,0.50,1,0,0,2.0,2.0,0.07,+2.0,+2.0,Matches
16,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,13.2,0,13,3,23.1,0.98,0.23,0.00,0.00,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
17,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,0,6,1,16.7,0.71,0.12,0.00,0.00,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches
18,Felipe Anderson\Felipe-Anderson,br BRA,MFFW,West Ham,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,0,0,0,2.5,2.5,0.11,-1.5,-1.5,Matches
19,Florin Andone\Florin-Andone,ro ROU,MFFW,Brighton,26,1993,0.8,1,1,1,100.0,1.23,1.23,1.00,1.00,0,0,0,0.1,0.1,0.12,+0.9,+0.9,Matches
20,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,4.7,0,5,0,0.0,1.06,0.00,0.00,,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
21,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,0.2,0,1,0,0.0,4.50,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
22,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,29,1990,19.6,10,67,30,44.8,3.41,1.53,0.13,0.30,0,1,1,11.6,10.8,0.16,-1.6,-1.8,Matches
23,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,27,1992,19.1,5,46,19,41.3,2.41,1.00,0.11,0.26,0,0,0,2.8,2.8,0.06,+2.2,+2.2,Matches
24,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,33.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
25,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,8.3,0,5,1,20.0,0.60,0.12,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
26,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,22,90,40,44.4,2.58,1.15,0.22,0.50,2,2,2,15.7,14.2,0.16,+6.3,+5.8,Matches
27,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,26,1992,30.0,1,13,4,30.8,0.43,0.13,0.08,0.25,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
28,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,9,56,24,42.9,1.60,0.69,0.16,0.38,0,0,0,6.3,6.3,0.11,+2.7,+2.7,Matches
29,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,0,0,0,2.7,2.7,0.09,-0.7,-0.7,Matches
30,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,1.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,4.5,0,1,0,0.0,0.22,0.00,0.00,,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches
32,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,27,1991,13.1,1,10,4,40.0,0.76,0.31,0.10,0.25,0,0,0,1.8,1.8,0.18,-0.8,-0.8,Matches
33,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,2,13,5,38.5,0.34,0.13,0.15,0.40,0,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
34,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,21.0,0,12,5,41.7,0.57,0.24,0.00,0.00,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
35,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,12.3,1,40,12,30.0,3.26,0.98,0.03,0.08,4,0,0,2.1,2.1,0.05,-1.1,-1.1,Matches
36,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15.0,6,39,11,28.2,2.60,0.73,0.13,0.45,0,1,1,5.6,4.8,0.12,+0.4,+0.2,Matches
37,Harvey Barnes\Harvey-Barnes,eng ENG,MFFW,Leicester City,21,1997,23.1,6,61,27,44.3,2.64,1.17,0.10,0.22,0,0,0,8.6,8.6,0.14,-2.6,-2.6,Matches
38,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,36.0,0,6,0,0.0,0.17,0.00,0.00,,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
39,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,2.7,1,15,2,13.3,5.65,0.75,0.07,0.50,0,0,0,2.2,2.2,0.15,-1.2,-1.2,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,34.0,1,7,1,14.3,0.21,0.03,0.14,1.00,0,0,0,0.9,0.9,0.13,+0.1,+0.1,Matches
42,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,12.9,1,7,2,28.6,0.54,0.16,0.14,0.50,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
43,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,6.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Leicester City,29,1990,3.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,8.3,0,4,0,0.0,0.48,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,14.0,2,42,19,45.2,3.00,1.36,0.05,0.11,0,0,0,4.9,4.9,0.12,-2.9,-2.9,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.9,1,11,2,18.2,1.59,0.29,0.09,0.50,2,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
48,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,1,5,2,40.0,0.48,0.19,0.20,0.50,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
49,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,21,1997,7.8,3,9,4,44.4,1.15,0.51,0.33,0.75,0,0,0,1.2,1.2,0.13,+1.8,+1.8,Matches
50,Bernard\Bernard,br BRA,MFFW,Everton,26,1992,14.2,3,12,4,33.3,0.84,0.28,0.25,0.75,1,0,0,1.1,1.1,0.09,+1.9,+1.9,Matches
51,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,7.5,0,7,2,28.6,0.93,0.27,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
52,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,29,1989,30.5,1,19,4,21.1,0.62,0.13,0.05,0.25,1,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
53,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,2.8,0,4,2,50.0,1.44,0.72,0.00,0.00,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
54,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,28.1,1,34,8,23.5,1.21,0.28,0.03,0.13,1,0,0,2.5,2.5,0.07,-1.5,-1.5,Matches
55,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
56,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,22.0,0,4,3,75.0,0.18,0.14,0.00,0.00,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
57,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,0.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
58,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,0,21,7,33.3,2.47,0.82,0.00,0.00,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
59,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,22,1996,10.2,1,24,7,29.2,2.36,0.69,0.04,0.14,0,0,0,1.8,1.8,0.07,-0.8,-0.8,Matches
60,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,27,1992,5.0,1,12,1,8.3,2.38,0.20,0.08,1.00,2,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
61,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,17,2002,3.3,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
63,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,5.6,1,6,2,33.3,1.07,0.36,0.17,0.50,1,0,0,0.8,0.8,0.13,+0.2,+0.2,Matches
65,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,8.9,0,5,0,0.0,0.56,0.00,0.00,,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
66,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,27.4,1,40,11,27.5,1.46,0.40,0.03,0.09,10,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
67,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,32.0,0,13,0,0.0,0.41,0.00,0.00,,0,0,0,1.3,1.3,0.10,-1.3,-1.3,Matches
68,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,14.4,0,16,2,12.5,1.11,0.14,0.00,0.00,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
69,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,5.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,24.1,0,20,5,25.0,0.83,0.21,0.00,0.00,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
71,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,22,1997,29.2,13,83,37,44.6,2.84,1.27,0.16,0.35,0,0,0,13.9,13.9,0.17,-0.9,-0.9,Matches
72,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
73,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,13.4,0,15,4,26.7,1.12,0.30,0.00,0.00,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
74,Todd Cantwell\Todd-Cantwell,eng ENG,FWMF,Norwich City,21,1998,27.7,6,42,16,38.1,1.52,0.58,0.14,0.38,0,0,0,5.9,5.9,0.14,+0.1,+0.1,Matches
75,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,29.2,0,19,1,5.3,0.65,0.03,0.00,0.00,2,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
76,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,7.0,0,15,3,20.0,2.14,0.43,0.00,0.00,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
77,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,32.1,2,17,5,29.4,0.53,0.16,0.12,0.40,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
78,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27.6,0,2,1,50.0,0.07,0.04,0.00,0.00,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches
79,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,18.8,0,13,3,23.1,0.69,0.16,0.00,0.00,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
80,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,10.3,0,9,0,0.0,0.87,0.00,0.00,,2,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
81,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,12.2,1,12,2,16.7,0.98,0.16,0.08,0.50,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
82,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,26.4,3,15,6,40.0,0.57,0.23,0.20,0.50,0,0,0,0.9,0.9,0.06,+2.1,+2.1,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,0,1,0,0.0,2.43,0.00,0.00,,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,9.9,1,7,2,28.6,0.71,0.20,0.14,0.50,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,0,7,2,28.6,0.36,0.10,0.00,0.00,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,2,6,4,66.7,0.46,0.30,0.33,0.50,0,0,0,1.3,1.3,0.22,+0.7,+0.7,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,34,1985,0.4,0,1,0,0.0,2.57,0.00,0.00,,0,0,0,0.4,0.4,0.39,-0.4,-0.4,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,10.8,1,17,5,29.4,1.58,0.46,0.06,0.20,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,20.4,0,8,3,37.5,0.39,0.15,0.00,0.00,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,14.0,3,38,13,34.2,2.72,0.93,0.08,0.23,0,0,0,3.1,3.1,0.08,-0.1,-0.1,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,15.0,0,9,2,22.2,0.60,0.13,0.00,0.00,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,27.0,1,13,2,15.4,0.48,0.07,0.08,0.50,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,0,18,5,27.8,0.62,0.17,0.00,0.00,0,0,0,1.7,1.7,0.09,-1.7,-1.7,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,30.3,3,18,5,27.8,0.59,0.17,0.17,0.60,7,0,0,1.2,1.2,0.07,+1.8,+1.8,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,2,11,3,27.3,3.33,0.91,0.18,0.67,0,0,0,2.4,2.4,0.22,-0.4,-0.4,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,0,1,0,0.0,1.34,0.00,0.00,,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,14.1,0,8,2,25.0,0.57,0.14,0.00,0.00,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,15.9,0,7,1,14.3,0.44,0.06,0.00,0.00,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,22.5,1,17,5,29.4,0.75,0.22,0.06,0.20,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,6.1,0,16,5,31.3,2.63,0.82,0.00,0.00,0,0,0,1.9,1.9,0.12,-1.9,-1.9,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,26.2,2,23,7,30.4,0.88,0.27,0.09,0.29,0,0,0,2.1,2.1,0.10,-0.1,-0.1,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,31.0,13,96,27,28.1,3.10,0.87,0.11,0.41,11,2,2,7.6,6.2,0.06,+5.4,+4.8,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,24.7,10,38,16,42.1,1.54,0.65,0.13,0.31,0,5,6,9.8,5.3,0.14,+0.2,-0.3,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,0,3,0,0.0,0.23,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,31.1,4,20,5,25.0,0.64,0.16,0.20,0.80,0,0,0,1.7,1.7,0.08,+2.3,+2.3,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,4,63,22,34.9,2.70,0.94,0.05,0.14,8,1,1,5.2,4.5,0.07,-1.2,-1.5,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,14.9,0,8,1,12.5,0.54,0.07,0.00,0.00,1,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,33.7,0,29,5,17.2,0.86,0.15,0.00,0.00,13,0,0,1.5,1.5,0.05,-1.5,-1.5,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,38.0,5,30,14,46.7,0.79,0.37,0.17,0.36,0,0,0,2.7,2.7,0.09,+2.3,+2.3,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,30.7,3,15,6,40.0,0.49,0.20,0.20,0.50,0,0,0,1.5,1.5,0.10,+1.5,+1.5,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,2,20,7,35.0,1.94,0.68,0.10,0.29,0,0,0,2.5,2.5,0.13,-0.5,-0.5,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,31.5,4,34,15,44.1,1.08,0.48,0.12,0.27,0,0,0,5.1,5.1,0.15,-1.1,-1.1,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,35.1,4,62,12,19.4,1.77,0.34,0.06,0.33,0,0,0,5.0,5.0,0.08,-1.0,-1.0,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,0,2,0,0.0,0.69,0.00,0.00,,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,1,13,5,38.5,1.81,0.70,0.08,0.20,0,0,0,2.6,2.6,0.24,-1.6,-1.6,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,0,10,3,30.0,1.24,0.37,0.00,0.00,2,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.8,1,6,1,16.7,0.44,0.07,0.17,1.00,0,0,0,1.5,1.5,0.24,-0.5,-0.5,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,0,1,1,100.0,0.07,0.07,0.00,0.00,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,35.9,3,30,10,33.3,0.84,0.28,0.10,0.30,5,0,0,4.2,4.2,0.14,-1.2,-1.2,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,34.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,2,28,5,17.9,0.79,0.14,0.07,0.40,0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
