,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,1,7,1,14.3,0.44,0.06,0.14,1.00,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,2,26,9,34.6,2.13,0.74,0.08,0.22,7,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,37.6,1,24,10,41.7,0.64,0.27,0.04,0.10,0,0,0,2.6,2.6,0.11,-1.6,-1.6,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,23.5,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,23.1,2,12,4,33.3,0.52,0.17,0.17,0.50,2,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Akin Famewo\Akin-Famewo,eng ENG,MF,Norwich City,20,1998,0.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
137,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,24.9,0,5,1,20.0,0.20,0.04,0.00,0.00,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
138,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,13.2,8,40,14,35.0,3.04,1.06,0.10,0.29,7,4,4,5.9,2.9,0.07,+2.1,+1.1,Matches
139,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.8,0,2,0,0.0,2.65,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
140,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,29.1,2,16,6,37.5,0.55,0.21,0.13,0.33,0,0,0,1.7,1.7,0.11,+0.3,+0.3,Matches
141,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,26.6,0,17,2,11.8,0.64,0.08,0.00,0.00,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
142,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,33.2,9,100,37,37.0,3.01,1.11,0.09,0.24,0,0,0,13.4,13.4,0.13,-4.4,-4.4,Matches
143,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,28.0,5,32,12,37.5,1.14,0.43,0.16,0.42,0,0,0,3.3,3.3,0.10,+1.7,+1.7,Matches
144,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,10.0,5,34,14,41.2,3.40,1.40,0.15,0.36,0,0,0,4.4,4.4,0.13,+0.6,+0.6,Matches
145,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,24.1,2,37,12,32.4,1.53,0.50,0.05,0.17,0,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
146,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,38.0,0,1,1,100.0,0.03,0.03,0.00,0.00,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
147,Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,21,1998,1.5,0,1,0,0.0,0.66,0.00,0.00,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
148,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
149,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
150,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,0,3,0,0.0,0.28,0.00,0.00,,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
151,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,1,27,12,44.4,1.18,0.52,0.04,0.08,2,0,0,3.2,3.2,0.12,-2.2,-2.2,Matches
152,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,0,40,10,25.0,1.66,0.42,0.00,0.00,3,0,0,1.9,1.9,0.05,-1.9,-1.9,Matches
153,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,24.9,0,3,0,0.0,0.12,0.00,0.00,,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
154,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
155,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,0,3,0,0.0,0.74,0.00,0.00,,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
156,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,0,5,1,20.0,0.58,0.12,0.00,0.00,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
157,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,8.8,0,2,1,50.0,0.23,0.11,0.00,0.00,0,0,0,0.6,0.6,0.31,-0.6,-0.6,Matches
158,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
159,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,9.4,4,23,10,43.5,2.44,1.06,0.17,0.40,1,0,0,4.5,4.5,0.20,-0.5,-0.5,Matches
160,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
161,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
162,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,38.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
163,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.8,4,50,19,38.0,2.19,0.83,0.06,0.16,5,1,1,5.8,5.1,0.10,-1.8,-2.1,Matches
164,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,0,2,0,0.0,1.40,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
165,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
166,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,11.0,8,39,19,48.7,3.53,1.72,0.21,0.42,1,0,0,6.7,6.7,0.17,+1.3,+1.3,Matches
167,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,29.4,0,15,5,33.3,0.51,0.17,0.00,0.00,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
168,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,16.2,0,5,0,0.0,0.31,0.00,0.00,,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
169,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
170,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,22.3,0,1,0,0.0,0.04,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
171,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,4.9,0,6,1,16.7,1.23,0.20,0.00,0.00,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
172,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,14.0,3,12,6,50.0,0.85,0.43,0.25,0.50,0,0,0,2.1,2.1,0.17,+0.9,+0.9,Matches
173,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.4,2,19,6,31.6,2.26,0.72,0.11,0.33,0,0,0,2.9,2.9,0.15,-0.9,-0.9,Matches
174,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.9,2,21,6,28.6,3.04,0.87,0.10,0.33,3,0,1,2.5,1.7,0.08,-0.5,+0.3,Matches
175,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,8,72,22,30.6,2.00,0.61,0.11,0.36,1,0,1,6.4,5.6,0.08,+1.6,+2.4,Matches
176,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,14.7,10,38,20,52.6,2.59,1.36,0.26,0.50,0,0,0,3.7,3.7,0.10,+6.3,+6.3,Matches
177,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,0,13,4,30.8,1.86,0.57,0.00,0.00,1,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches
178,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,20.0,2,29,9,31.0,1.45,0.45,0.07,0.22,4,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
179,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,35.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
180,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,0,11,5,45.5,0.57,0.26,0.00,0.00,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
181,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,22.7,0,8,3,37.5,0.35,0.13,0.00,0.00,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
182,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,22.4,2,31,6,19.4,1.38,0.27,0.03,0.17,2,1,2,4.5,3.0,0.10,-2.5,-2.0,Matches
183,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
184,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,25.2,7,55,27,49.1,2.18,1.07,0.13,0.26,0,0,0,7.7,7.7,0.15,-0.7,-0.7,Matches
185,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,0,7,2,28.6,0.50,0.14,0.00,0.00,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
186,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.2,1,20,3,15.0,1.17,0.17,0.05,0.33,0,0,0,2.2,2.2,0.12,-1.2,-1.2,Matches
187,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.7,1,17,3,17.6,0.69,0.12,0.06,0.33,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
188,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,36.0,0,1,0,0.0,0.03,0.00,0.00,,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
190,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,4,20,8,40.0,0.80,0.32,0.20,0.50,0,0,0,1.4,1.4,0.07,+2.6,+2.6,Matches
191,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,2,22,6,27.3,1.03,0.28,0.09,0.33,1,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches
192,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
193,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,1,3,2,66.7,2.52,1.68,0.33,0.50,1,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
194,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,15.4,1,30,9,30.0,1.95,0.59,0.03,0.11,0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
195,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,27.5,11,81,39,48.1,2.94,1.42,0.14,0.28,1,0,1,8.7,7.8,0.10,+2.3,+3.2,Matches
196,George Hirst\George-Hirst,eng ENG,FW,Leicester City,20,1999,0.1,0,3,1,33.3,24.55,8.18,0.00,0.00,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
197,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,6.5,0,1,0,0.0,0.15,0.00,0.00,,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
198,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,0,6,3,50.0,0.53,0.26,0.00,0.00,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
199,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.8,0,12,5,41.7,0.53,0.22,0.00,0.00,0,0,0,2.2,2.2,0.19,-2.2,-2.2,Matches
200,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,0,1,1,100.0,2.73,2.73,0.00,0.00,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
201,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,3,29,10,34.5,1.70,0.59,0.10,0.30,4,0,0,1.7,1.7,0.06,+1.3,+1.3,Matches
202,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.6,1,22,4,18.2,2.29,0.42,0.05,0.25,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Matches
203,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,25.0,1,27,3,11.1,1.08,0.12,0.04,0.33,0,0,0,2.7,2.7,0.10,-1.7,-1.7,Matches
204,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,30.6,0,47,10,21.3,1.54,0.33,0.00,0.00,0,0,0,2.6,2.6,0.06,-2.6,-2.6,Matches
205,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
206,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.5,0,6,2,33.3,2.37,0.79,0.00,0.00,0,0,0,1.0,1.0,0.16,-1.0,-1.0,Matches
207,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.1,0,7,3,42.9,6.24,2.67,0.00,0.00,0,0,0,1.5,1.5,0.21,-1.5,-1.5,Matches
208,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,22,1996,10.7,5,34,18,52.9,3.19,1.69,0.15,0.28,0,0,0,4.8,4.8,0.14,+0.2,+0.2,Matches
209,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,31.2,22,90,35,38.9,2.89,1.12,0.23,0.60,0,1,2,17.0,15.4,0.17,+5.0,+5.6,Matches
210,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,1,23,9,39.1,1.30,0.51,0.04,0.11,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Matches
211,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
212,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,3.5,2,11,2,18.2,3.18,0.58,0.18,1.00,0,0,0,0.5,0.5,0.05,+1.5,+1.5,Matches
213,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,21,1997,25.4,3,42,19,45.2,1.65,0.75,0.07,0.16,0,0,0,3.6,3.6,0.08,-0.6,-0.6,Matches
214,Matty James\Matty-James,eng ENG,MF,Leicester City,28,1991,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
215,Reece James\Reece-James,eng ENG,DF,Chelsea,19,1999,16.8,0,18,3,16.7,1.07,0.18,0.00,0.00,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
216,Daryl Janmaat\Daryl-Janmaat,nl NED,DF,Watford,30,1989,6.7,0,4,0,0.0,0.59,0.00,0.00,,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
217,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,22,1997,22.6,14,102,43,42.2,4.52,1.91,0.14,0.33,0,0,1,18.5,17.7,0.18,-4.5,-3.7,Matches
218,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,28,1991,36.0,17,114,39,34.2,3.17,1.08,0.11,0.33,0,4,4,14.5,11.5,0.10,+2.5,+1.5,Matches
219,Joelinton\Joelinton,br BRA,FW,Newcastle Utd,22,1996,29.8,2,52,15,28.8,1.74,0.50,0.04,0.13,0,0,0,4.8,4.8,0.09,-2.8,-2.8,Matches
220,Ben Johnson\Ben-Johnson,eng ENG,DF,West Ham,19,2000,3.0,0,1,0,0.0,0.33,0.00,0.00,,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
221,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.4,1,6,2,33.3,4.29,1.43,0.17,0.50,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
222,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,27,1992,1.5,0,2,1,50.0,1.33,0.67,0.00,0.00,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
223,Bruno Jordão\Bruno-Jordao,pt POR,FW,Wolves,20,1998,0.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
224,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26.4,4,10,1,10.0,0.38,0.04,0.10,1.00,0,3,3,3.4,1.1,0.11,+0.6,-0.1,Matches
225,Jota\Jota,es ESP,FWMF,Aston Villa,28,1991,3.7,0,6,1,16.7,1.61,0.27,0.00,0.00,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
226,Diogo Jota\Diogo-Jota,pt POR,FWMF,Wolves,22,1996,25.4,7,69,26,37.7,2.72,1.02,0.10,0.27,0,0,0,9.7,9.7,0.14,-2.7,-2.7,Matches
227,James Justin\James-Justin,eng ENG,DF,Leicester City,21,1998,11.2,0,7,0,0.0,0.62,0.00,0.00,,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
228,Christian Kabasele\Christian-Kabasele,be BEL,DF,Watford,28,1991,25.0,0,8,1,12.5,0.32,0.04,0.00,0.00,0,0,0,1.1,1.1,0.14,-1.1,-1.1,Matches
229,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,26,1993,28.7,18,78,34,43.6,2.71,1.18,0.21,0.47,7,2,2,10.6,9.1,0.12,+7.4,+6.9,Matches
230,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,28,1991,19.2,3,18,6,33.3,0.94,0.31,0.17,0.50,0,0,0,1.5,1.5,0.09,+1.5,+1.5,Matches
231,Moise Kean\Moise-Kean,it ITA,FW,Everton,19,2000,9.5,2,30,13,43.3,3.17,1.37,0.07,0.15,0,0,0,4.2,4.2,0.14,-2.2,-2.2,Matches
232,Michael Keane\Michael-Keane,eng ENG,DF,Everton,26,1993,28.4,2,13,4,30.8,0.46,0.14,0.15,0.50,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches
233,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,24,1995,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
234,Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,20,1998,7.1,0,1,0,0.0,0.14,0.00,0.00,,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
235,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,29,1990,17.2,0,3,0,0.0,0.17,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
236,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,22,1997,2.1,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
237,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,22.3,6,23,9,39.1,1.03,0.40,0.13,0.33,0,3,3,6.5,4.3,0.18,-0.5,-1.3,Matches
238,Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,31,1988,6.5,0,3,0,0.0,0.46,0.00,0.00,,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
239,Jonathan Kodjia\Jonathan-Kodjia,ci CIV,FWMF,Aston Villa,29,1989,1.3,0,2,0,0.0,1.54,0.00,0.00,,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
240,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,26,1993,18.9,0,4,0,0.0,0.21,0.00,0.00,,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches
241,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,21,1998,22.7,1,11,4,36.4,0.49,0.18,0.09,0.25,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches
242,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,Crystal Palace,29,1989,28.1,1,23,5,21.7,0.82,0.18,0.04,0.20,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
243,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,25,1994,23.0,1,21,5,23.8,0.91,0.22,0.05,0.20,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
244,Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,24,1994,11.3,0,4,0,0.0,0.35,0.00,0.00,,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
245,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,31,1988,36.0,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
246,Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,Arsenal,28,1991,20.8,10,53,26,49.1,2.55,1.25,0.19,0.38,3,0,0,8.5,8.5,0.16,+1.5,+1.5,Matches
247,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,31,1988,4.2,1,5,1,20.0,1.18,0.24,0.20,1.00,0,0,0,1.0,1.0,0.21,0.0,0.0,Matches
248,Érik Lamela\Erik-Lamela,ar ARG,MFFW,Tottenham,27,1992,13.5,2,29,8,27.6,2.15,0.59,0.07,0.25,4,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
249,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,18,2000,6.5,0,2,0,0.0,0.31,0.00,0.00,,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
250,Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,18,2000,0.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
251,Henri Lansbury\Henri-Lansbury,eng ENG,MF,Aston Villa,28,1990,2.2,0,2,0,0.0,0.92,0.00,0.00,,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
252,Manuel Lanzini\Manuel-Lanzini,ar ARG,MFFW,West Ham,26,1993,15.3,0,23,7,30.4,1.50,0.46,0.00,0.00,3,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
253,Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,25,1994,12.2,1,4,1,25.0,0.33,0.08,0.25,1.00,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
254,Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,25,1993,23.1,1,9,2,22.2,0.39,0.09,0.11,0.50,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
255,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,5.3,1,4,1,25.0,0.75,0.19,0.25,1.00,0,0,0,0.4,0.4,0.11,+0.6,+0.6,Matches
256,Moritz Leitner\Moritz-Leitner,de GER,MF,Norwich City,26,1992,7.6,0,8,0,0.0,1.05,0.00,0.00,,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
257,Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,28,1991,4.9,2,4,3,75.0,0.81,0.61,0.50,0.67,0,0,0,0.5,0.5,0.12,+1.5,+1.5,Matches
258,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,32,1987,5.5,0,1,0,0.0,0.18,0.00,0.00,,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
259,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,27,1992,29.4,0,0,0,,0.00,0.00,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
260,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,24,1994,30.0,1,30,2,6.7,1.00,0.07,0.03,0.50,0,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches
